pop_tot_unw,pop_workingage_unw,worker_PS_unw,worker_PS_m_unw,worker_PS_f_unw,worker_PS_rur_unw,worker_PS_urb_unw,labor_force_PS_unw,labor_force_PS_m_unw,labor_force_PS_f_unw,labor_force_PS_rur_unw,labor_force_PS_urb_unw,pop_m_unw,pop_f_unw,pop_rur_unw,pop_urb_unw,s_casual_w_lf_PS_unw,s_casual_w_lf_P_unw,s_casual_w_lf_PS_m_unw,s_casual_w_lf_P_m_unw,s_casual_w_lf_PS_f_unw,s_casual_w_lf_P_f_unw,s_casual_w_lf_PS_rur_unw,s_casual_w_lf_P_rur_unw,s_casual_w_lf_PS_urb_unw,s_casual_w_lf_P_urb_unw,data,time,state_name,lf_share_unw,worker_share_unw,lf_share_m_unw,worker_share_m_unw,lf_share_f_unw,worker_share_f_unw,lf_share_urb_unw,worker_share_urb_unw,lf_share_rur_unw,worker_share_rur_unw
9739,7269,4178,2662,1515,2900,1278,4331,2776,1554,2959,1372,3676,3592,4687,2582,.76702839,.73795396,.72730547,.69737798,.83783782,.813779,.90233189,.87193841,.47521865,.45535055,PLFS_1819,July 2018 - June 2019,CHATTISGARH,.59581786,.57476956,.75516868,.72415668,.43262807,.4217706,.53137106,.49496514,.63132066,.61873269
20773,15535,7618,5831,1787,4886,2732,7996,6164,1832,5011,2985,8088,7446,9163,6372,.75900447,.73972952,.74448413,.72651529,.80786026,.78683752,.88964278,.87227094,.53969848,.51855636,PLFS_1819,July 2018 - June 2019,MADHYA PRADESH,.5147087,.49037656,.76211673,.72094458,.24603814,.23999463,.46845573,.42875078,.54687327,.5332315
14390,10861,5246,4225,1020,2831,2415,5473,4427,1045,2943,2530,5638,5221,5520,5341,.58578473,.57207036,.55409986,.54872257,.71961725,.68409586,.77166158,.7557441,.36956522,.36530045,PLFS_1819,July 2018 - June 2019,GUJARAT,.5039131,.48301262,.78520751,.74937922,.20015323,.19536488,.47369406,.4521625,.53315216,.51286232
1216,956,565,433,132,279,286,574,440,134,281,293,531,425,450,506,.40418118,.28705442,.32954547,.26086956,.64925373,.40625,.5871886,.39024389,.22866894,.19860627,PLFS_1819,July 2018 - June 2019,D & N. HAVELI & DAMAN & DIU,.60041839,.59100419,.82862526,.81544256,.31529412,.31058824,.57905138,.56521738,.62444443,.62
32366,24128,12257,8861,3395,6362,5895,12878,9285,3592,6599,6279,12351,11771,11309,12819,.61290574,.60339302,.58513731,.57496488,.68457681,.67759252,.83179271,.81807065,.38286352,.37871999,PLFS_1819,July 2018 - June 2019,MAHARASHTRA,.53373677,.507999,.75176102,.71743178,.30515674,.28842071,.48981979,.45986426,.58351755,.5625608
14178,10879,5928,3959,1964,3636,2292,6354,4236,2113,3838,2516,5393,5479,5972,4907,.66761094,.65014344,.63385272,.6175006,.73497397,.71734893,.79963523,.78419936,.46621621,.44804156,PLFS_1819,July 2018 - June 2019,ANDHRA PRADESH,.58406103,.54490304,.78546262,.73409975,.38565433,.35845956,.51273692,.46708784,.64266574,.60884124
16112,12054,5930,4576,1352,2876,3054,6174,4761,1411,2958,3216,6128,5920,5517,6537,.62066734,.61778575,.62003779,.61777687,.62296242,.61798561,.81812036,.81654185,.43905473,.43604109,PLFS_1819,July 2018 - June 2019,KARNATAKA,.51219511,.49195287,.77692556,.74673629,.23834459,.22837839,.49196878,.46718678,.53616095,.52129781
1679,1251,618,454,164,262,356,669,476,193,283,386,625,626,554,697,.35874438,.34580839,.37605041,.36134455,.31606218,.30729166,.39222616,.37588653,.3341969,.32383421,PLFS_1819,July 2018 - June 2019,GOA,.53477216,.49400479,.76160002,.72640002,.30830672,.26198083,.55380201,.51076043,.51083034,.47292417
642,492,158,137,21,52,106,219,180,39,73,146,232,260,168,324,.39269406,.39269406,.47777778,.47777778,0,0,.4520548,.4520548,.36301368,.36301368,PLFS_1819,July 2018 - June 2019,LAKSHDWEEP,.44512194,.3211382,.7758621,.59051722,.15000001,.080769233,.45061728,.32716051,.43452382,.30952382
16882,11959,5661,3951,1708,2533,3128,6299,4193,2104,2781,3518,5494,6462,5220,6739,.57199556,.53378826,.62699735,.60462314,.46197718,.37452778,.66235167,.62164235,.50056851,.4664903,PLFS_1819,July 2018 - June 2019,KERALA,.52671629,.47336733,.76319623,.71914816,.3255958,.26431444,.5220359,.46416381,.53275859,.48524904
