pop_tot_unw,pop_workingage_unw,worker_PS_unw,worker_PS_m_unw,worker_PS_f_unw,worker_PS_rur_unw,worker_PS_urb_unw,labor_force_PS_unw,labor_force_PS_m_unw,labor_force_PS_f_unw,labor_force_PS_rur_unw,labor_force_PS_urb_unw,pop_m_unw,pop_f_unw,pop_rur_unw,pop_urb_unw,s_casual_w_worker_PS_unw,s_casual_w_worker_P_unw,s_casual_w_lf_PS_unw,s_casual_w_lf_P_unw,s_casual_w_worker_PS_m_unw,s_casual_w_worker_P_m_unw,s_casual_w_lf_PS_m_unw,s_casual_w_lf_P_m_unw,s_casual_w_worker_PS_f_unw,s_casual_w_worker_P_f_unw,s_casual_w_lf_PS_f_unw,s_casual_w_lf_P_f_unw,s_casual_w_worker_PS_rur_unw,s_casual_w_worker_P_rur_unw,s_casual_w_lf_PS_rur_unw,s_casual_w_lf_P_rur_unw,s_casual_w_worker_PS_urb_unw,s_casual_w_worker_P_urb_unw,s_casual_w_lf_PS_urb_unw,s_casual_w_lf_P_urb_unw,data,time,state_name,lf_share_unw,worker_share_unw,lf_share_m_unw,worker_share_m_unw,lf_share_f_unw,worker_share_f_unw,lf_share_urb_unw,worker_share_urb_unw,lf_share_rur_unw,worker_share_rur_unw
13656,10586,6202,3925,2276,3866,2336,6507,4134,2372,4004,2503,5255,5329,5886,4700,.71170592,.68288648,.6783464,.64731723,.67082804,.63999999,.63691342,.60399413,.7820738,.75946444,.75042158,.72562855,.84117949,.80944759,.81218779,.77789176,.49743152,.47625273,.46424291,.44161615,PLFS_2223,July 2022 - June 2023,ANDHRA PRADESH,.61467975,.58586812,.78667933,.74690771,.44511166,.42709702,.5325532,.49702129,.68025821,.65681279
15571,11803,6615,4471,2144,3408,3207,6822,4618,2204,3471,3351,5986,5817,5515,6288,.6739229,.66036862,.65347403,.63803679,.66092598,.64845335,.63988739,.62502718,.70102614,.68639052,.68194193,.66666669,.86091548,.84794438,.84528953,.82914573,.47521049,.46332169,.45478961,.44212121,PLFS_2223,July 2022 - June 2023,KARNATAKA,.57798862,.56045073,.77146673,.74690944,.37888947,.36857486,.53291982,.51001906,.62937444,.61795104
1642,1226,601,437,164,248,353,663,477,186,272,391,616,610,527,699,.37770382,.35678393,.34238312,.323217,.38901603,.37011495,.35639414,.33894736,.34756097,.32098764,.30645162,.28260869,.46370968,.44081631,.4227941,.40148699,.31728044,.29829547,.28644502,.26923078,PLFS_2223,July 2022 - June 2023,GOA,.54078305,.49021208,.77435064,.70941556,.30491802,.26885247,.55937052,.50500715,.51612902,.47058824
799,551,219,165,54,74,145,243,181,62,81,162,249,302,157,394,.55251139,.52020204,.49794239,.4618834,.56969696,.56172842,.519337,.50837988,.5,.33333334,.43548387,.27272728,.52702701,.50704223,.48148149,.4556962,.56551725,.52755904,.50617284,.46527779,PLFS_2223,July 2022 - June 2023,LAKSHDWEEP,.44101635,.39745918,.72690761,.66265059,.20529801,.17880794,.4111675,.3680203,.51592356,.47133759
15837,11062,5821,3766,2055,2790,3031,6298,3967,2331,2966,3332,5115,5947,4973,6089,.60213023,.54080248,.55652589,.48861647,.61869359,.58155042,.5873456,.54363638,.57177615,.44679487,.50407553,.37473118,.69354838,.63993454,.65239382,.59085757,.51798087,.45156538,.47118849,.40026119,PLFS_2223,July 2022 - June 2023,KERALA,.56933647,.52621585,.77556205,.7362659,.39196232,.34555238,.5472163,.49778289,.59642065,.56102955
23059,17398,9746,6368,3378,5264,4482,10207,6641,3566,5455,4752,8600,8798,8411,8987,.62199879,.58846277,.59390616,.55450958,.56579775,.54202485,.54253876,.51614368,.72794551,.68483645,.68956816,.63162708,.77184653,.73284465,.74482125,.69384998,.44600624,.42723966,.420665,.40046889,PLFS_2223,July 2022 - June 2023,TAMIL NADU,.58667666,.56017935,.77220929,.7404651,.40531939,.38395089,.52876377,.49872038,.64855546,.6258471
1946,1447,743,493,250,216,527,785,520,265,226,559,666,781,343,1104,.39838493,.36235955,.37707007,.33725491,.40162271,.35403726,.38076922,.33075434,.39199999,.37991267,.36981133,.35080644,.60185188,.54500002,.57522124,.51173711,.31499052,.29101563,.29695886,.26992753,PLFS_2223,July 2022 - June 2023,PONDICHERRY,.54250175,.51347613,.78078079,.74024022,.33930859,.32010242,.50634056,.47735506,.65889215,.62973762
1649,1295,778,524,254,424,354,863,549,314,450,413,653,642,646,649,.51285344,.45147678,.46234068,.39003646,.49045801,.4317269,.46812385,.39814815,.55905509,.49765259,.45222929,.3745583,.67924529,.59473681,.63999999,.53809524,.31355932,.28700906,.26876512,.235732,PLFS_2223,July 2022 - June 2023,A & N ISLANDS,.66640925,.6007722,.84073508,.80245024,.48909658,.39563861,.63636363,.54545456,.69659442,.65634674
10211,7746,4408,2830,1578,2420,1988,4643,2996,1647,2487,2156,3913,3833,3561,4185,.6901089,.65147638,.65517986,.61636603,.63003534,.58405483,.59512681,.54918587,.79784536,.77370828,.76442015,.74030036,.90289259,.85231167,.87856853,.82648402,.43108651,.41272265,.39749536,.37950397,PLFS_2223,July 2022 - June 2023,TELANGANA,.59940612,.5690679,.76565295,.72323024,.42968953,.41168797,.51517326,.47502986,.69839931,.67958438
1146,821,480,289,191,307,173,518,310,208,323,195,439,382,481,340,.74791664,.6416465,.69305021,.58114034,.68858129,.60638297,.64193547,.56065571,.83769631,.71755725,.76923078,.62251657,.88599348,.77419353,.84210527,.71641791,.50289017,.44242424,.44615385,.38829789,PLFS_2223,July 2022 - June 2023,LADAKH,.63093787,.58465284,.70615035,.65831435,.54450262,.5,.57352942,.50882351,.67151767,.63825363
