pop_tot_unw,casual_w_P_unw,casual_w_P_m_unw,casual_w_P_f_unw,casual_w_PS_unw,casual_w_PS_m_unw,casual_w_PS_f_unw,worker_P_unw,worker_P_m_unw,worker_P_f_unw,worker_PS_unw,worker_PS_m_unw,worker_PS_f_unw,labor_force_P_unw,labor_force_P_m_unw,labor_force_P_f_unw,labor_force_PS_unw,labor_force_PS_m_unw,labor_force_PS_f_unw,casual_w_W_unw,casual_w_W_m_unw,casual_w_W_f_unw,casual_w_WD_unw,casual_w_WD_m_unw,casual_w_WD_f_unw,worker_W_unw,worker_W_m_unw,worker_W_f_unw,labor_force_W_unw,labor_force_W_m_unw,labor_force_W_f_unw,worker_WD_unw,worker_WD_m_unw,worker_WD_f_unw,labor_force_WD_unw,labor_force_WD_m_unw,labor_force_WD_f_unw,pop_unw,pop_m_unw,pop_f_unw,s_casual_w_worker_PS_unw,s_casual_w_worker_P_unw,s_casual_w_worker_WD_unw,s_casual_w_worker_W_unw,s_casual_w_lf_PS_unw,s_casual_w_lf_P_unw,s_casual_w_lf_WD_unw,s_casual_w_lf_W_unw,s_casual_w_pop_PS_unw,s_casual_w_pop_P_unw,s_casual_w_pop_WD_unw,s_casual_w_pop_W_unw,s_casual_w_worker_PS_m_unw,s_casual_w_worker_P_m_unw,s_casual_w_worker_WD_m_unw,s_casual_w_worker_W_m_unw,s_casual_w_lf_PS_m_unw,s_casual_w_lf_P_m_unw,s_casual_w_lf_WD_m_unw,s_casual_w_lf_W_m_unw,s_casual_w_pop_PS_m_unw,s_casual_w_pop_P_m_unw,s_casual_w_pop_WD_m_unw,s_casual_w_pop_W_m_unw,s_casual_w_worker_PS_f_unw,s_casual_w_worker_P_f_unw,s_casual_w_worker_WD_f_unw,s_casual_w_worker_W_f_unw,s_casual_w_lf_PS_f_unw,s_casual_w_lf_P_f_unw,s_casual_w_lf_WD_f_unw,s_casual_w_lf_W_f_unw,s_casual_w_pop_PS_f_unw,s_casual_w_pop_P_f_unw,s_casual_w_pop_WD_f_unw,s_casual_w_pop_W_f_unw,data,time,state_name,state_code_PLFS
22929,5962,3628,2333,6428,3816,2611,9650,6252,3393,10033,6362,3666,10349,6682,3662,10626,6730,3891,5376,3262,2113,5510,3354,2155,9210,6004,3201,10252,6672,3575,9210,6004,3201,10252,6672,3575,17603,8576,9021,.64068574,.61782384,.59826279,.58371335,.60493129,.57609433,.5374561,.52438551,.36516502,.33869228,.31301484,.30540249,.59981138,.58029431,.55862761,.54330444,.56701338,.54295123,.50269783,.48890889,.44496268,.42304105,.39109141,.38036379,.71222043,.68759209,.67322713,.66010624,.67103571,.63708359,.60279721,.59104896,.28943577,.25861877,.23888704,.23423123,PLFS_2021,July 2020 - June 2021,TAMIL NADU,33
2019,281,201,80,311,217,94,733,517,216,756,522,234,795,560,235,813,561,252,265,190,75,272,195,77,711,502,209,786,557,229,711,502,209,786,557,229,1515,723,792,.41137567,.38335606,.38255978,.37271449,.38253382,.35345912,.34605598,.33715013,.20528053,.18547855,.17953795,.17491749,.41570881,.38878143,.38844621,.37848607,.38680926,.35892856,.35008976,.34111312,.30013832,.27800831,.26970956,.26279393,.40170941,.37037036,.36842105,.35885167,.37301588,.34042552,.33624455,.32751092,.11868687,.1010101,.097222224,.094696969,PLFS_2021,July 2020 - June 2021,PONDICHERRY,34
1516,340,230,110,391,262,129,627,443,184,659,459,200,729,484,244,737,485,251,322,214,108,335,223,112,617,433,184,731,484,246,617,433,184,731,484,246,1201,606,594,.59332323,.54226476,.54294974,.52188009,.5305292,.46639231,.45827633,.44049248,.32556203,.28309742,.27893421,.26810992,.57080609,.51918733,.51501155,.49422634,.54020619,.47520661,.46074381,.44214877,.43234324,.37953794,.3679868,.35313532,.64499998,.59782606,.60869563,.5869565,.51394421,.45081967,.45528457,.43902439,.21717171,.18518518,.18855219,.18181819,PLFS_2021,July 2020 - June 2021,A & N ISLANDS,35
10226,3130,1880,1249,3206,1926,1279,4430,2841,1587,4474,2866,1606,4718,3030,1686,4750,3044,1704,3023,1849,1174,3058,1874,1184,4312,2812,1499,4648,3030,1616,4312,2812,1499,4648,3030,1616,7924,3982,3940,.71658468,.70654625,.70918369,.70106679,.67494738,.66341668,.65791738,.65038729,.40459365,.39500251,.3859162,.38149923,.67201674,.66173881,.66642958,.65753913,.63272011,.62046206,.61848187,.61023104,.48367655,.47212455,.47061777,.46433952,.79638857,.78701955,.78985989,.78318882,.75058687,.74080664,.73267329,.72648513,.32461929,.31700507,.30050761,.29796955,PLFS_2021,July 2020 - June 2021,TELANGANA,36
14505,2948,2437,511,4577,2914,1663,4553,3791,762,5846,3966,1880,5043,4022,1021,6267,4142,2125,3555,2430,1125,3700,2555,1145,5176,3805,1371,5675,4049,1626,5176,3805,1371,5675,4049,1626,10679,5497,5181,.78292853,.6474852,.71483773,.68682379,.73033351,.58457267,.65198237,.6264317,.4285982,.27605581,.34647438,.33289635,.73474532,.6428383,.67148489,.63863337,.70352489,.60591745,.63102001,.6001482,.53010732,.44333273,.46479899,.44205931,.88457447,.67060369,.8351568,.82056892,.78258824,.50048971,.70418203,.6918819,.32098052,.098629609,.22099981,.21713954,PLFS_2122,July 2021 - June 2022,JAMMU & KASHMIR,1
7344,2749,1339,1410,3231,1617,1614,3632,1987,1645,3838,2070,1768,3856,2131,1725,3989,2166,1823,2512,1247,1265,2562,1272,1290,3419,1911,1508,3689,2098,1591,3419,1911,1508,3689,2098,1591,5191,2552,2639,.84184474,.75688326,.74934191,.73471773,.80997741,.71291494,.69449717,.68094337,.62242341,.5295704,.49354652,.48391446,.7811594,.67388022,.66562009,.65253794,.74653739,.62834352,.60629171,.59437561,.63362068,.52468652,.49843261,.48863637,.91289592,.85714287,.85543764,.83885944,.8853538,.81739128,.8108108,.79509741,.61159527,.53429329,.48882154,.47934824,PLFS_2122,July 2021 - June 2022,HIMACHAL PRADESH,2
12925,2836,2326,510,2963,2360,603,4723,3763,960,4840,3773,1067,5035,3984,1051,5148,3991,1157,2695,2227,468,2738,2262,476,4600,3663,937,5022,3967,1055,4600,3663,937,5022,3967,1055,9670,5057,4613,.61219007,.60046583,.59521741,.58586955,.57556331,.56325722,.54520112,.5366388,.30641159,.29327819,.28314373,.27869701,.62549692,.61812383,.61752659,.60797161,.59133047,.58383536,.5702042,.5613814,.46667984,.4599565,.44730076,.44037968,.5651359,.53125,.50800425,.49946639,.52117544,.48525214,.45118484,.44360191,.13071753,.11055712,.10318664,.10145242,PLFS_2122,July 2021 - June 2022,PUNJAB,3
1373,147,123,24,154,129,25,459,383,76,468,389,79,488,404,84,497,410,87,147,123,24,148,123,25,460,382,78,490,404,86,460,382,78,490,404,86,1038,548,489,.32905984,.32026145,.32173914,.31956521,.30985916,.30122951,.30204082,.30000001,.14836223,.14161849,.14258189,.14161849,.33161953,.32114881,.32198954,.32198954,.31463414,.30445546,.30445546,.30445546,.23540147,.22445256,.22445256,.22445256,.31645569,.31578946,.32051283,.30769232,.28735632,.2857143,.29069766,.27906978,.051124744,.049079753,.051124744,.049079753,PLFS_2122,July 2021 - June 2022,CHANDIGARH,4
6960,1561,1088,473,1742,1157,585,2349,1719,630,2496,1760,736,2574,1886,688,2704,1911,793,1567,1071,496,1580,1082,498,2349,1696,653,2607,1893,714,2349,1696,653,2607,1893,714,5068,2576,2492,.69791669,.66453809,.67262667,.66709238,.64423078,.60644913,.60606062,.60107404,.34372532,.30801105,.31176007,.30919495,.65738636,.63292611,.6379717,.63148582,.60544217,.5768823,.57157952,.5657686,.44914597,.42236024,.42003107,.41576087,.79483694,.75079364,.76263398,.75957119,.73770493,.6875,.69747901,.69467789,.23475121,.18980739,.19983949,.19903691,PLFS_2122,July 2021 - June 2022,UTTARANCHAL,5
11716,2109,1681,428,2165,1723,442,3666,3001,665,3682,3006,676,4019,3290,729,4035,3295,740,1894,1548,346,1932,1584,348,3463,2880,583,3933,3273,660,3463,2880,583,3933,3273,660,8390,4414,3975,.58799565,.57528639,.55789781,.54692465,.53655517,.52475739,.49122807,.48156622,.25804529,.25137067,.23027414,.22574493,.57318693,.56014663,.55000001,.53750002,.52291352,.51094222,.48395967,.47296059,.39034888,.38083372,.35885817,.35070232,.65384614,.64360905,.5969125,.59348202,.59729731,.58710563,.5272727,.5242424,.11119497,.10767296,.087547168,.087044023,PLFS_2122,July 2021 - June 2022,HARYANA,6
3651,347,314,33,348,314,34,1182,1031,151,1188,1035,153,1255,1095,160,1260,1098,162,342,309,33,343,309,34,1180,1027,153,1262,1100,162,1180,1027,153,1262,1100,162,2787,1493,1294,.29292929,.29357022,.29067796,.28983051,.27619049,.27649403,.2717908,.27099842,.12486545,.12450664,.1230714,.1227126,.30338165,.30455869,.30087635,.30087635,.2859745,.28675801,.28090909,.28090909,.2103148,.2103148,.20696583,.20696583,.22222222,.21854305,.22222222,.21568628,.20987654,.20625,.20987654,.2037037,.026275115,.025502319,.026275115,.025502319,PLFS_2122,July 2021 - June 2022,DELHI,7
20241,5595,3638,1957,6197,3851,2346,7314,5111,2203,7795,5214,2581,7777,5491,2286,8234,5571,2663,5195,3461,1734,5247,3503,1744,6951,4966,1985,7560,5482,2078,6951,4966,1985,7560,5482,2078,14596,7457,7139,.7949968,.76497132,.75485539,.74737448,.7526111,.71942908,.69404763,.68716931,.42456838,.38332421,.35948205,.35591942,.73858839,.71179807,.70539671,.69693917,.69125831,.66253871,.63900036,.63133895,.51642752,.48786375,.46975997,.46412766,.90895003,.8883341,.87858939,.87355167,.8809613,.85608047,.83926851,.83445621,.32861745,.27412802,.24429192,.24289116,PLFS_2122,July 2021 - June 2022,RAJASTHAN,8
43735,10878,8883,1995,12742,9492,3250,13209,10885,2324,14878,11309,3569,13802,11397,2405,15419,11773,3646,10907,8557,2350,11031,8672,2359,13306,10635,2671,14186,11415,2771,13306,10635,2671,14186,11415,2771,30652,15353,15297,.85643232,.82352942,.82902449,.81970537,.82638305,.78814667,.77759761,.76885664,.41569883,.35488713,.35987863,.35583323,.83933151,.81607717,.81542081,.80460745,.80625159,.77941561,.75970215,.74962771,.61825049,.57858402,.56484073,.55735034,.9106192,.85843372,.8831898,.87982029,.89138782,.82952183,.85131723,.84806931,.21245997,.13041773,.15421325,.15362489,PLFS_2122,July 2021 - June 2022,UTTAR PRADESH,9
22712,4678,4276,402,4854,4326,528,5560,5022,538,5718,5054,664,5956,5377,579,6108,5403,705,4693,4250,443,4722,4274,448,5594,5012,582,6020,5392,628,5594,5012,582,6020,5392,628,15169,7775,7394,.84889823,.84136689,.84411871,.8389346,.7946955,.78542644,.78438538,.77956814,.31999472,.30839211,.31129277,.30938098,.85595566,.8514536,.8527534,.84796488,.80066627,.79523897,.79265577,.78820473,.55639869,.54996783,.54971063,.54662377,.79518074,.74721187,.76975948,.76116836,.74893618,.69430053,.71337581,.705414,.071409248,.054368407,.060589667,.059913442,PLFS_2122,July 2021 - June 2022,BIHAR,10
2771,804,448,356,898,505,393,1443,861,582,1468,871,597,1477,878,599,1499,886,613,796,444,352,811,453,358,1437,859,578,1469,875,594,1437,859,578,1469,875,594,2206,1104,1101,.61171663,.55717254,.56437021,.55393177,.59906602,.54434663,.55207622,.54186523,.40707162,.36446056,.36763373,.36083409,.57979333,.52032518,.5273574,.5168801,.5699774,.51025057,.51771426,.50742859,.45742753,.40579709,.41032609,.40217391,.65829146,.61168385,.61937714,.60899651,.64110929,.59432387,.60269362,.5925926,.35694823,.32334241,.32515895,.31970936,PLFS_2122,July 2021 - June 2022,SIKKIM,11
7909,1813,1242,571,1878,1289,589,2631,1882,749,2643,1887,756,2879,2040,839,2891,2045,846,1816,1243,573,1868,1282,586,2634,1883,751,2888,2044,844,2634,1883,751,2888,2044,844,5875,3033,2842,.71055621,.68909162,.70918757,.68944573,.64960223,.62973255,.64681441,.62880886,.31965956,.30859575,.31795746,.30910638,.68309486,.65993625,.68082845,.66011685,.63031787,.60882354,.62720156,.60812134,.42499176,.40949556,.42268381,.40982527,.77910054,.76234978,.78029293,.76298267,.69621748,.68057209,.69431281,.67890996,.20724842,.20091484,.20619282,.20161858,PLFS_2122,July 2021 - June 2022,ARUNACHAL PRADESH,12
4491,1093,678,415,1260,726,534,1617,1084,533,1751,1111,640,1843,1214,629,1945,1221,724,1164,688,476,1190,706,484,1689,1096,593,1907,1220,687,1689,1096,593,1907,1220,687,3099,1569,1530,.71958882,.67594308,.70455891,.68916517,.64781493,.59305483,.62401676,.6103828,.40658277,.35269442,.38399485,.37560505,.65346533,.62546128,.64416057,.62773722,.5945946,.55848438,.5786885,.56393445,.46271512,.43212238,.44996813,.43849584,.83437502,.77861166,.81618887,.80269814,.73756903,.6597774,.70451236,.69286752,.34901962,.27124184,.31633988,.31111112,PLFS_2122,July 2021 - June 2022,NAGALAND,13
11679,2588,1888,697,2611,1906,702,3499,2620,876,3503,2621,879,3753,2788,962,3757,2789,965,2587,1887,697,2607,1904,700,3498,2620,875,3753,2787,963,3498,2620,875,3753,2787,963,8034,4009,4022,.74536109,.73963988,.74528301,.73956549,.69496942,.68958169,.69464427,.6893152,.32499379,.32213095,.32449588,.32200646,.72720337,.72061068,.72671753,.72022903,.68339908,.67718792,.68317187,.67707211,.47543028,.47094038,.47493142,.47069094,.79863483,.79566211,.80000001,.79657143,.72746116,.72453225,.72689509,.72377986,.17454003,.17329687,.17404276,.17329687,PLFS_2122,July 2021 - June 2022,MANIPUR,14
7116,1837,1188,649,1888,1237,651,2588,1773,815,2588,1773,815,2736,1847,889,2736,1847,889,1835,1187,648,1893,1240,653,2586,1773,813,2735,1847,888,2586,1773,813,2735,1847,888,5206,2652,2554,.72952086,.70981455,.73201859,.70959008,.69005847,.67141813,.69213891,.67093235,.36265847,.35286209,.36361891,.35247791,.69768751,.67005074,.69937956,.66948676,.66973472,.64320523,.67135894,.64266378,.46644041,.4479638,.46757165,.44758672,.79877299,.79631901,.80319804,.79704797,.73228347,.73003376,.73536038,.72972971,.25489429,.2541112,.25567737,.25371966,PLFS_2122,July 2021 - June 2022,MIZORAM,15
7247,2032,1573,459,2068,1601,467,2799,2132,666,2799,2132,666,2919,2225,693,2919,2225,693,2014,1577,437,2049,1606,443,2772,2127,644,2916,2222,693,2772,2127,644,2916,2222,693,5705,2883,2821,.73883528,.72597355,.73917747,.72655123,.70846182,.69612879,.70267493,.69067216,.36248904,.35617879,.35915864,.35302368,.75093806,.73780489,.75505406,.74141985,.71955055,.70696628,.7227723,.70972097,.55532432,.54561222,.55705863,.54699963,.7012012,.6891892,.68788821,.6785714,.67388165,.66233766,.63924962,.63059163,.16554414,.16270825,.15703651,.15490961,PLFS_2122,July 2021 - June 2022,TRIPURA,16
6294,1623,1034,589,1675,1040,635,2293,1413,880,2336,1416,920,2404,1464,940,2447,1467,980,1615,1018,597,1645,1037,608,2307,1413,894,2416,1463,953,2307,1413,894,2416,1463,953,4244,2080,2164,.71703768,.70780635,.71304727,.70004332,.68451166,.67512476,.68087751,.66846025,.39467484,.38242224,.38760602,.38053724,.73446327,.73177636,.73389953,.72045296,.70892978,.70628417,.70881748,.69583046,.5,.49711537,.49855769,.48942307,.69021738,.6693182,.68008947,.66778523,.64795917,.62659574,.63798529,.62644279,.29343808,.27218115,.28096119,.27587801,PLFS_2122,July 2021 - June 2022,MEGHALAYA,17
16341,4174,3417,757,4721,3598,1123,5704,4564,1140,6088,4609,1479,6067,4796,1271,6439,4831,1608,4276,3395,881,4372,3471,901,5805,4540,1265,6192,4783,1409,5805,4540,1265,6192,4783,1409,12045,6141,5904,.77545995,.73176718,.75314385,.73660636,.73318839,.68798417,.70607233,.69056845,.39194685,.34653383,.3629722,.35500208,.78064656,.74868536,.76453745,.74779737,.74477333,.71246874,.72569519,.70980555,.58589804,.55642402,.56521738,.55284154,.75929683,.66403508,.71225297,.69644266,.69838309,.59559405,.63946062,.62526613,.19021003,.12821816,.15260839,.14922087,PLFS_2122,July 2021 - June 2022,ASSAM,18
23738,5725,4705,1019,6739,4971,1767,8701,7078,1621,9626,7215,2409,9157,7459,1696,10037,7558,2477,5881,4459,1421,6031,4578,1452,9000,6910,2088,9667,7480,2185,9000,6910,2088,9667,7480,2185,18475,9359,9114,.70008314,.65797037,.67011112,.65344447,.67141575,.62520474,.62387502,.60835832,.3647632,.3098782,.32644114,.31832206,.68898129,.66473579,.66251808,.64529669,.65771365,.63078159,.61203206,.59612298,.53114647,.50272465,.48915482,.4764398,.73349935,.62862432,.69540232,.68055558,.71336293,.60082549,.66453087,.65034324,.19387755,.11180601,.15931533,.15591398,PLFS_2122,July 2021 - June 2022,WEST BENGAL,19
12533,3145,2329,816,4274,2647,1627,4155,3164,991,5166,3384,1782,4343,3326,1017,5303,3498,1805,3181,2257,924,3240,2305,935,4215,3112,1103,4458,3322,1136,4215,3112,1103,4458,3322,1136,8948,4480,4468,.82733256,.75691938,.76868325,.75468564,.80595887,.72415382,.72678334,.71354866,.47764865,.35147518,.36209208,.35549843,.78221041,.73609358,.74068123,.7252571,.7567181,.70024055,.6938591,.67940998,.59084821,.51986605,.5145089,.50379467,.91301906,.82341069,.84768814,.83771533,.90138507,.80235988,.82306337,.8133803,.36414504,.18263204,.20926589,.20680393,PLFS_2122,July 2021 - June 2022,JHARKHAND,20
16073,4133,3143,990,4996,3398,1598,5508,4281,1227,6200,4388,1812,6029,4683,1346,6673,4748,1925,4037,2955,1082,4148,3050,1098,5449,4124,1325,6077,4615,1462,5449,4124,1325,6077,4615,1462,11988,5944,6043,.80580646,.75036311,.7612406,.74086988,.74868876,.68551999,.68257362,.66430807,.41675007,.34476143,.34601268,.33675343,.77438468,.73417425,.73957324,.71653736,.71566975,.67115098,.66088843,.64030337,.57166892,.52876848,.5131225,.49713996,.88189846,.80684596,.82867926,.81660378,.83012986,.73551261,.75102597,.74008209,.26443818,.16382591,.18169783,.17905015,PLFS_2122,July 2021 - June 2022,ORISSA,21
9907,3235,1954,1281,3580,2092,1488,4347,2776,1571,4567,2829,1738,4512,2894,1618,4723,2939,1784,2594,1768,826,2633,1790,843,3794,2642,1152,4105,2876,1229,3794,2642,1152,4105,2876,1229,7344,3640,3704,.78388441,.74419141,.69399053,.68371111,.7579928,.71697694,.64141291,.63191229,.48747277,.44049564,.35852396,.35321352,.73948389,.7038905,.67751706,.66918999,.71180671,.67519003,.62239224,.6147427,.57472527,.5368132,.49175823,.48571429,.85615653,.81540418,.73177081,.7170139,.8340807,.79171818,.68592352,.67209113,.40172786,.34584233,.2275918,.22300217,PLFS_2122,July 2021 - June 2022,CHATTISGARH,22
21480,6167,4738,1429,7627,5096,2531,7946,6195,1751,9276,6438,2838,8211,6415,1796,9496,6622,2874,6080,4479,1601,6195,4577,1618,7961,6023,1938,8440,6429,2011,7961,6023,1938,8440,6429,2011,16029,8298,7731,.82222939,.77611375,.77816856,.76372313,.80318028,.75106567,.73400474,.72037917,.47582507,.38474014,.38648701,.37931249,.79155016,.76481032,.7599203,.74364936,.76955605,.73858148,.71193033,.69668686,.61412388,.57098097,.5515787,.53976864,.89182526,.81610507,.83488131,.82610941,.88065416,.79565704,.80457485,.79612136,.32738325,.18484025,.20928729,.20708835,PLFS_2122,July 2021 - June 2022,MADHYA PRADESH,23
15974,4104,2872,1232,4568,2967,1601,6418,4837,1581,6804,4865,1939,6586,4967,1619,6956,4982,1974,4200,2853,1347,4256,2886,1370,6529,4825,1704,6727,4975,1752,6529,4825,1704,6727,4975,1752,12046,6244,5802,.67136979,.63945156,.65186095,.64328378,.65669924,.62313998,.63267428,.62434965,.37921301,.34069401,.35331231,.34866345,.60986638,.59375644,.5981347,.59129536,.59554398,.57821625,.58010048,.57346731,.47517616,.45996156,.46220371,.45691863,.82568336,.77925366,.8039906,.79049295,.81104356,.76096356,.78196347,.7688356,.27593935,.21234058,.23612547,.23216133,PLFS_2122,July 2021 - June 2022,GUJARAT,24
1249,176,79,97,260,128,132,587,410,177,612,415,197,621,430,191,640,431,209,177,77,100,189,86,103,589,409,180,624,429,195,589,409,180,624,429,195,968,523,445,.42483661,.29982963,.32088286,.30050933,.40625,.28341386,.30288461,.28365386,.26859504,.18181819,.19524793,.18285124,.30843374,.19268292,.21026894,.18826406,.29698375,.18372093,.2004662,.17948718,.24474187,.15105163,.16443595,.14722754,.67005074,.54802263,.57222223,.55555558,.63157892,.50785339,.52820516,.51282054,.29662922,.21797752,.23146068,.22471911,PLFS_2122,July 2021 - June 2022,D & N. HAVELI & DAMAN & DIU,25
31957,8440,5473,2966,8839,5683,3155,13086,9022,4063,13366,9123,4242,13587,9404,4182,13841,9485,4355,7959,5303,2655,8083,5385,2697,12634,8852,3781,13405,9417,3987,12634,8852,3781,13405,9417,3987,23578,12082,11494,.66130483,.6449641,.63978153,.62996674,.63860995,.62118202,.60298395,.59373367,.37488335,.35796082,.34281957,.33756045,.62293106,.60662824,.6083371,.59907365,.59915656,.58198637,.57183814,.5631305,.47036913,.45298791,.44570434,.4389174,.74375296,.73000246,.71330339,.70219517,.72445464,.70923001,.67644846,.66591424,.27449104,.25804767,.23464416,.23099008,PLFS_2122,July 2021 - June 2022,MAHARASHTRA,27
13661,4046,2498,1547,4340,2644,1695,5876,3872,2003,6075,3936,2138,6229,4116,2112,6402,4162,2239,3619,2288,1330,3715,2363,1351,5560,3738,1821,6080,4083,1996,5560,3738,1821,6080,4083,1996,10517,5196,5320,.71440327,.68856364,.66816545,.65089929,.67791313,.64954245,.61101973,.59523028,.41266522,.38471046,.35323763,.34410954,.67174798,.64514464,.63215625,.61209202,.63527149,.60689992,.57874113,.56037229,.50885296,.48075444,.45477289,.44033873,.79279703,.77234149,.74190003,.73036796,.75703436,.73248106,.67685372,.66633266,.31860903,.29078948,.25394738,.25,PLFS_2122,July 2021 - June 2022,ANDHRA PRADESH,28
16065,4158,2958,1200,4336,3040,1296,6319,4557,1762,6466,4608,1858,6599,4775,1824,6718,4800,1918,3994,2891,1103,4065,2944,1121,6206,4524,1682,6519,4761,1758,6206,4524,1682,6519,4761,1758,11988,6047,5941,.67058462,.65801549,.6550113,.64357072,.64543021,.63009548,.62356192,.61267066,.36169502,.34684685,.3390891,.33316651,.65972221,.64911127,.65075153,.63903624,.63333333,.61947644,.61835748,.60722536,.50272864,.4891682,.48685297,.47808832,.69752419,.68104428,.6664685,.65576696,.67570388,.65789473,.63765645,.6274175,.21814509,.20198619,.18868877,.18565898,PLFS_2122,July 2021 - June 2022,KARNATAKA,29
1685,211,163,48,227,176,51,546,429,117,551,431,120,621,477,144,626,479,147,194,157,37,200,162,38,534,424,110,613,473,140,534,424,110,613,473,140,1245,618,627,.41197821,.38644689,.37453184,.36329588,.36261982,.33977455,.32626426,.31647635,.18232931,.16947791,.16064256,.15582329,.40835267,.37995338,.38207546,.37028301,.36743215,.34171909,.34249473,.3319239,.28478965,.26375404,.26213592,.25404531,.42500001,.41025642,.34545454,.33636364,.34693879,.33333334,.27142859,.26428571,.081339709,.076555021,.060606062,.059011165,PLFS_2122,July 2021 - June 2022,GOA,30
785,99,93,6,102,94,8,220,191,29,223,192,31,270,224,46,272,224,48,82,75,7,86,79,7,207,177,30,259,219,40,207,177,30,259,219,40,577,289,288,.4573991,.44999999,.41545895,.39613527,.375,.36666667,.33204633,.31660232,.17677642,.17157713,.14904679,.14211439,.48958334,.486911,.44632769,.42372882,.41964287,.41517857,.36073059,.34246576,.32525951,.32179931,.27335641,.25951558,.25806451,.20689656,.23333333,.23333333,.16666667,.13043478,.175,.175,.027777778,.020833334,.024305556,.024305556,PLFS_2122,July 2021 - June 2022,LAKSHDWEEP,31
16294,2958,2266,692,3736,2516,1220,5111,3656,1455,5813,3817,1996,5868,4039,1829,6481,4144,2337,2879,2060,819,3052,2191,861,5195,3560,1635,6065,4054,2011,5195,3560,1635,6065,4054,2011,11377,5349,6028,.64269739,.57875168,.587488,.5541867,.57645422,.50408995,.50321519,.47469085,.32838184,.25999823,.26826054,.25305441,.65915638,.61980307,.61544943,.57865167,.60714287,.56102997,.54045385,.50814009,.4703683,.4236306,.40960926,.38511872,.61122245,.47560138,.52660549,.50091743,.52203679,.37834883,.4281452,.40726006,.20238885,.11479761,.14283344,.13586596,PLFS_2122,July 2021 - June 2022,KERALA,32
23098,5959,3673,2286,6455,3885,2570,9491,6282,3208,9846,6375,3470,10103,6712,3390,10410,6777,3632,5593,3445,2148,5745,3564,2181,9198,6116,3081,10114,6720,3393,9198,6116,3081,10114,6720,3393,17385,8578,8804,.6555962,.62785798,.6245923,.60806698,.62007684,.5898248,.56802452,.55299586,.37129709,.34276676,.3304573,.32171413,.60941178,.5846864,.58273381,.56327665,.57326251,.54722887,.53035712,.51264882,.45290276,.42818838,.41548148,.40160877,.74063402,.7125935,.70788705,.69717622,.7075991,.67433625,.64279401,.63306808,.29191276,.2596547,.2477283,.24398001,PLFS_2122,July 2021 - June 2022,TAMIL NADU,33
1977,275,175,100,311,193,118,727,496,231,766,512,254,779,535,244,806,542,264,267,174,93,282,182,100,729,495,234,780,534,246,729,495,234,780,534,246,1482,707,774,.40600523,.37826684,.38683128,.36625513,.38585609,.35301667,.36153847,.34230769,.20985155,.18556005,.1902834,.18016194,.37695313,.35282257,.36767676,.35151514,.35608855,.32710281,.34082398,.32584271,.27298445,.24752475,.25742576,.24611032,.46456692,.43290043,.42735043,.3974359,.44696969,.40983605,.40650406,.37804878,.15245478,.12919897,.12919897,.12015504,PLFS_2122,July 2021 - June 2022,PONDICHERRY,34
1489,385,265,120,456,295,161,643,460,183,691,470,221,723,494,229,755,494,261,355,237,118,365,246,119,615,434,181,723,491,232,615,434,181,723,491,232,1158,591,567,.65991318,.59875584,.59349591,.57723576,.60397351,.53250349,.50484097,.49100968,.39378238,.33246976,.31519863,.30656305,.62765956,.57608694,.56682026,.54608297,.597166,.53643727,.50101835,.4826884,.49915397,.44839254,.41624364,.40101522,.7285068,.6557377,.65745854,.65193373,.61685824,.52401745,.51293105,.50862068,.28395063,.21164021,.20987654,.20811288,PLFS_2122,July 2021 - June 2022,A & N ISLANDS,35
10420,3001,1821,1180,3182,1944,1238,4409,2877,1532,4511,2933,1578,4662,3042,1620,4747,3082,1665,2842,1805,1037,2892,1851,1041,4240,2858,1382,4523,3039,1484,4240,2858,1382,4523,3039,1484,7880,3959,3921,.70538682,.68065321,.6820755,.67028302,.67031807,.64371514,.63939863,.628344,.4038071,.38083756,.36700508,.3606599,.66280258,.63295096,.64765573,.6315605,.63075924,.59861934,.60908192,.59394538,.49103308,.45996463,.46754232,.4559232,.78453737,.770235,.75325614,.7503618,.74354357,.72839504,.70148247,.69878703,.31573579,.30094364,.26549348,.26447335,PLFS_2122,July 2021 - June 2022,TELANGANA,36
1130,208,158,50,306,189,117,347,255,92,422,266,156,384,281,103,456,290,166,262,165,97,282,181,101,403,264,139,442,292,150,403,264,139,442,292,150,826,419,407,.72511846,.59942365,.69975185,.65012407,.67105263,.54166669,.63800907,.59276021,.37046006,.25181597,.34140435,.31719127,.71052629,.61960787,.68560606,.625,.65172416,.56227756,.61986303,.56506848,.45107397,.37708831,.43198091,.39379475,.75,.54347825,.72661871,.6978417,.70481926,.48543689,.67333335,.64666665,.2874693,.12285012,.24815725,.23832923,PLFS_2122,July 2021 - June 2022,LADAKH,37
