pop_tot_unw,casual_w_P_unw,casual_w_P_m_unw,casual_w_P_f_unw,casual_w_PS_unw,casual_w_PS_m_unw,casual_w_PS_f_unw,worker_P_unw,worker_P_m_unw,worker_P_f_unw,worker_PS_unw,worker_PS_m_unw,worker_PS_f_unw,labor_force_P_unw,labor_force_P_m_unw,labor_force_P_f_unw,labor_force_PS_unw,labor_force_PS_m_unw,labor_force_PS_f_unw,casual_w_W_unw,casual_w_W_m_unw,casual_w_W_f_unw,casual_w_WD_unw,casual_w_WD_m_unw,casual_w_WD_f_unw,worker_W_unw,worker_W_m_unw,worker_W_f_unw,labor_force_W_unw,labor_force_W_m_unw,labor_force_W_f_unw,worker_WD_unw,worker_WD_m_unw,worker_WD_f_unw,labor_force_WD_unw,labor_force_WD_m_unw,labor_force_WD_f_unw,pop_unw,pop_m_unw,pop_f_unw,s_casual_w_worker_PS_unw,s_casual_w_worker_P_unw,s_casual_w_worker_WD_unw,s_casual_w_worker_W_unw,s_casual_w_lf_PS_unw,s_casual_w_lf_P_unw,s_casual_w_lf_WD_unw,s_casual_w_lf_W_unw,s_casual_w_pop_PS_unw,s_casual_w_pop_P_unw,s_casual_w_pop_WD_unw,s_casual_w_pop_W_unw,s_casual_w_worker_PS_m_unw,s_casual_w_worker_P_m_unw,s_casual_w_worker_WD_m_unw,s_casual_w_worker_W_m_unw,s_casual_w_lf_PS_m_unw,s_casual_w_lf_P_m_unw,s_casual_w_lf_WD_m_unw,s_casual_w_lf_W_m_unw,s_casual_w_pop_PS_m_unw,s_casual_w_pop_P_m_unw,s_casual_w_pop_WD_m_unw,s_casual_w_pop_W_m_unw,s_casual_w_worker_PS_f_unw,s_casual_w_worker_P_f_unw,s_casual_w_worker_WD_f_unw,s_casual_w_worker_W_f_unw,s_casual_w_lf_PS_f_unw,s_casual_w_lf_P_f_unw,s_casual_w_lf_WD_f_unw,s_casual_w_lf_W_f_unw,s_casual_w_pop_PS_f_unw,s_casual_w_pop_P_f_unw,s_casual_w_pop_WD_f_unw,s_casual_w_pop_W_f_unw,data,time,state_name,state_code_PLFS
7449,1639,1209,429,1704,1262,441,2479,1846,632,2490,1853,636,2678,1965,712,2686,1971,714,1643,1210,432,1681,1241,439,2481,1848,632,2676,1966,709,2481,1848,632,2676,1966,709,5524,2863,2660,.68433738,.66115367,.67754936,.662233,.63440061,.61202389,.62817639,.61397606,.30847213,.29670528,.30430847,.29742941,.68105775,.65492958,.6715368,.65476191,.64028412,.61526716,.63123095,.61546284,.44079638,.42228431,.4334614,.42263359,.69339621,.67879748,.69462025,.68354428,.61764705,.6025281,.61918193,.6093089,.16578947,.16127819,.16503759,.16240601,PLFS_2021,July 2020 - June 2021,ARUNACHAL PRADESH,12
4154,936,541,395,939,544,395,1479,958,521,1481,960,521,1867,1189,678,1869,1191,678,934,539,395,936,541,395,1477,956,521,1864,1187,677,1477,956,521,1864,1187,677,3177,1608,1569,.63403106,.63286006,.633717,.6323629,.50240773,.50133902,.50214595,.50107294,.29556185,.29461756,.29461756,.29398805,.56666666,.56471819,.56589961,.56380755,.45675904,.45500422,.45577085,.45408592,.33830845,.3364428,.3364428,.335199,.75815737,.75815737,.75815737,.75815737,.58259588,.58259588,.5834564,.5834564,.2517527,.2517527,.2517527,.2517527,PLFS_2021,July 2020 - June 2021,NAGALAND,13
10729,2364,1740,621,2372,1740,629,3346,2465,878,3349,2465,881,3580,2634,943,3583,2634,946,2369,1742,624,2373,1742,628,3344,2461,880,3578,2630,945,3344,2461,880,3578,2630,945,7760,3844,3913,.70827115,.70651525,.70962918,.70843303,.66201508,.66033518,.66321969,.66210175,.30567011,.30463916,.30579898,.30528352,.70588237,.70588237,.70784235,.70784235,.66059226,.66059226,.66235739,.66235739,.4526535,.4526535,.45317379,.45317379,.71396142,.70728928,.71363634,.70909089,.66490483,.65853661,.66455024,.66031748,.16074623,.15870176,.16049068,.15946844,PLFS_2021,July 2020 - June 2021,MANIPUR,14
6257,1845,1092,753,1886,1127,759,2620,1664,956,2621,1665,956,2717,1729,988,2718,1730,988,1845,1091,754,1887,1126,761,2621,1664,957,2718,1729,989,2621,1664,957,2718,1729,989,4881,2467,2414,.71957266,.70419848,.71995419,.70392978,.69389254,.67905778,.69426048,.67880797,.38639623,.37799633,.38660112,.37799633,.6768769,.65625,.67668271,.65564907,.65144509,.63157892,.65124351,.63100058,.45683014,.4426429,.4564248,.44223753,.79393303,.7876569,.79519331,.78787881,.76821864,.76214576,.76946408,.76238626,.3144159,.31193042,.31524441,.31234467,PLFS_2021,July 2020 - June 2021,MIZORAM,15
7114,2162,1589,573,2194,1614,580,2873,2070,803,2873,2070,803,3014,2168,846,3014,2168,846,2138,1581,557,2170,1606,564,2852,2064,788,3008,2164,844,2852,2064,788,3008,2164,844,5612,2777,2835,.76366168,.75252348,.76086956,.74964935,.72793627,.71731919,.72140956,.71077126,.39094797,.38524589,.38667142,.38096935,.77971017,.76763284,.77810079,.76598835,.74446493,.73293358,.74214417,.73059148,.58120275,.57220024,.57832193,.56931943,.72229141,.71357411,.71573603,.70685279,.68557918,.67730498,.66824645,.65995258,.20458554,.2021164,.1989418,.19647266,PLFS_2021,July 2020 - June 2021,TRIPURA,16
6213,1607,994,613,1694,1000,694,2264,1360,904,2338,1362,976,2341,1402,939,2415,1404,1011,1585,978,607,1598,982,616,2272,1359,913,2348,1400,948,2272,1359,913,2348,1400,948,4212,2027,2185,.7245509,.70980567,.70334506,.69762325,.70144928,.68645877,.68057925,.67504257,.40218425,.38152897,.37939221,.37630579,.73421437,.73088235,.72259015,.71964681,.71225071,.70898718,.70142859,.69857144,.49333993,.49037987,.48445979,.48248643,.71106559,.67809737,.67469877,.66484118,.68644905,.65282214,.64978904,.64029539,.31762013,.2805492,.28192219,.27780321,PLFS_2021,July 2020 - June 2021,MEGHALAYA,17
14042,3555,3030,525,3961,3156,805,4976,4049,927,5257,4081,1176,5294,4248,1046,5554,4263,1291,3597,2992,605,3657,3032,625,5038,4027,1011,5372,4239,1133,5038,4027,1011,5372,4239,1133,10761,5571,5188,.75347155,.71442926,.72588331,.71397382,.71317971,.67151493,.68075204,.66958302,.36808845,.33035964,.3398383,.33426261,.77333987,.74833292,.75291783,.74298483,.74032372,.71327686,.71526301,.70582682,.56650513,.54388797,.54424697,.53706694,.68452382,.56634307,.61819983,.5984174,.62354761,.50191206,.55163282,.53398061,.15516576,.10119507,.12047032,.11661527,PLFS_2021,July 2020 - June 2021,ASSAM,18
21853,5353,4385,968,6234,4630,1603,8011,6407,1604,8781,6522,2258,8491,6795,1696,9215,6873,2341,5310,4086,1224,5504,4236,1268,8182,6238,1944,8856,6805,2051,8182,6238,1944,8856,6805,2051,17137,8658,8477,.70994192,.66820621,.67269617,.64898556,.67650568,.63043225,.62149954,.59959352,.3637743,.31236506,.32117641,.30985588,.70990491,.68440765,.6790638,.65501761,.6736505,.64532745,.62248349,.60044086,.53476554,.506468,.4892585,.47193348,.70992029,.60349125,.6522634,.62962961,.68475008,.57075471,.61823499,.59678203,.18909992,.11419134,.14958122,.1443907,PLFS_2021,July 2020 - June 2021,WEST BENGAL,19
12334,3296,2343,952,4071,2604,1466,4166,3047,1118,4819,3212,1606,4439,3289,1149,5042,3409,1632,2842,2097,745,2880,2123,757,3735,2829,906,4148,3209,939,3735,2829,906,4148,3209,939,8889,4516,4371,.8447811,.7911666,.77108431,.76091033,.80741769,.7425096,.69431049,.68514949,.45798177,.37079537,.32399595,.31972101,.81070983,.76895308,.75044185,.74125135,.76386034,.71237457,.66157681,.65347463,.57661647,.51882195,.47010627,.46434897,.9128269,.8515206,.83554083,.82229578,.89828432,.82854658,.80617678,.79339725,.33539236,.21779913,.17318691,.17044155,PLFS_2021,July 2020 - June 2021,JHARKHAND,20
15477,4621,3355,1266,5122,3553,1569,5814,4286,1528,6173,4365,1808,6324,4694,1630,6633,4731,1902,4183,3080,1103,4248,3132,1116,5426,4058,1368,6070,4587,1483,5426,4058,1368,6070,4587,1483,11947,6011,5934,.82974243,.79480565,.78289717,.77091783,.77219963,.73070842,.69983524,.68912685,.42872688,.38679168,.35557044,.35012975,.8139748,.78278112,.77180874,.75899458,.75100404,.71474224,.68279922,.67146283,.59108299,.55814338,.52104473,.51239395,.86780971,.82853401,.81578946,.80628657,.82492113,.77668715,.75252867,.74376267,.2644085,.21334681,.18806876,.18587799,PLFS_2021,July 2020 - June 2021,ORISSA,21
