pop_tot_unw,pop_workingage_unw,worker_PS_unw,worker_PS_m_unw,worker_PS_f_unw,worker_PS_rur_unw,worker_PS_urb_unw,labor_force_PS_unw,labor_force_PS_m_unw,labor_force_PS_f_unw,labor_force_PS_rur_unw,labor_force_PS_urb_unw,worker_W_unw,worker_W_m_unw,worker_W_f_unw,worker_W_rur_unw,worker_W_urb_unw,labor_force_W_unw,labor_force_W_m_unw,labor_force_W_f_unw,labor_force_W_rur_unw,labor_force_W_urb_unw,pop_m_unw,pop_f_unw,pop_rur_unw,pop_urb_unw,s_casual_w_worker_PS_unw,s_casual_w_worker_P_unw,s_casual_w_worker_WD_unw,s_casual_w_worker_W_unw,s_casual_w_lf_PS_unw,s_casual_w_lf_P_unw,s_casual_w_lf_WD_unw,s_casual_w_lf_W_unw,s_casual_w_worker_PS_m_unw,s_casual_w_worker_P_m_unw,s_casual_w_worker_WD_m_unw,s_casual_w_worker_W_m_unw,s_casual_w_lf_PS_m_unw,s_casual_w_lf_P_m_unw,s_casual_w_lf_WD_m_unw,s_casual_w_lf_W_m_unw,s_casual_w_worker_PS_f_unw,s_casual_w_worker_P_f_unw,s_casual_w_worker_WD_f_unw,s_casual_w_worker_W_f_unw,s_casual_w_lf_PS_f_unw,s_casual_w_lf_P_f_unw,s_casual_w_lf_WD_f_unw,s_casual_w_lf_W_f_unw,s_casual_w_worker_PS_rur_unw,s_casual_w_worker_P_rur_unw,s_casual_w_worker_WD_rur_unw,s_casual_w_worker_W_rur_unw,s_casual_w_lf_PS_rur_unw,s_casual_w_lf_P_rur_unw,s_casual_w_lf_WD_rur_unw,s_casual_w_lf_W_rur_unw,s_casual_w_worker_PS_urb_unw,s_casual_w_worker_P_urb_unw,s_casual_w_worker_WD_urb_unw,s_casual_w_worker_W_urb_unw,s_casual_w_lf_PS_urb_unw,s_casual_w_lf_P_urb_unw,s_casual_w_lf_WD_urb_unw,s_casual_w_lf_W_urb_unw,data,time,state_name,lf_share_unw,worker_share_unw,lf_share_m_unw,worker_share_m_unw,lf_share_f_unw,worker_share_f_unw,lf_share_urb_unw,worker_share_urb_unw,lf_share_rur_unw,worker_share_rur_unw
9621,6622,3329,2259,1069,1712,1617,3508,2387,1120,1799,1709,3327,2256,1070,1712,1615,3507,2383,1123,1800,1707,3304,3317,3338,3284,.75848603,.74909854,.75894201,.74872255,.71978337,.71086401,.71998858,.71029371,.7228862,.71302038,.72340423,.71276593,.68412232,.67476946,.68485105,.67477971,.83348924,.82507014,.83364487,.82429904,.79553574,.78750002,.79430097,.78539628,.81950933,.81063706,.82009345,.81133175,.77987772,.77141267,.77999997,.77166665,.69387758,.68398267,.69411767,.68235296,.6565243,.64716208,.6567077,.64557701,PLFS_2223,July 2022 - June 2023,MANIPUR,.52974933,.50271821,.72245765,.68371671,.3376545,.32227916,.52040195,.49238732,.5389455,.51288199
6981,4921,2814,1719,1095,1032,1782,2873,1745,1128,1042,1831,2811,1718,1093,1030,1781,2870,1744,1126,1040,1830,2503,2418,1677,3244,.77540869,.7241379,.77445751,.7242974,.75948489,.70926183,.75853658,.70940769,.72833043,.66608495,.72875434,.66647261,.71747851,.65616047,.7178899,.6565367,.84931505,.81535649,.84629458,.81518757,.82446808,.79148179,.82149202,.7912966,.89534885,.83996123,.89320385,.83883494,.88675624,.83189243,.88461536,.83076924,.70594835,.65712684,.70578325,.65805727,.68705624,.63954121,.68688524,.64043719,PLFS_2223,July 2022 - June 2023,MIZORAM,.5838244,.57183498,.6971634,.68677586,.46650124,.45285359,.56442666,.54932183,.62134767,.61538464
7099,5600,3056,2115,941,2138,918,3146,2182,964,2182,964,3017,2110,907,2113,904,3110,2177,933,2160,950,2843,2757,3764,1836,.76537961,.74226803,.7610209,.74279088,.74348378,.72069746,.73826367,.72057879,.75271869,.734375,.75213271,.73364931,.72960585,.71179438,.72898483,.7110703,.79383636,.76089388,.78169793,.76405734,.77489626,.74183005,.75991428,.74276525,.82647336,.80323195,.82252723,.80359679,.80980754,.78677839,.80462962,.78611112,.62309366,.60022146,.61725664,.60066372,.59336102,.57112747,.58736843,.57157892,PLFS_2223,July 2022 - June 2023,TRIPURA,.5617857,.54571426,.76749915,.74393249,.34965542,.34131303,.52505445,.5,.57970244,.56801277
6181,4100,2498,1407,1091,1843,655,2704,1482,1222,1957,747,2482,1402,1080,1832,650,2692,1478,1214,1949,743,1978,2122,2794,1306,.75100082,.73802817,.75181305,.6680097,.69378698,.68102491,.69316494,.61589897,.75266522,.74964339,.75392294,.67332381,.71457487,.71109605,.7151556,.63870096,.74885428,.7229917,.7490741,.66111112,.66857612,.64444447,.66639209,.5881384,.85892564,.84523159,.85862446,.75054586,.80889118,.79497695,.80708057,.70548999,.44732824,.4353846,.45076925,.4353846,.39223561,.38140163,.39434725,.38088828,PLFS_2223,July 2022 - June 2023,MEGHALAYA,.65951222,.60926831,.74924165,.71132457,.57587183,.51413763,.57197547,.50153142,.7004295,.6596278
15481,11497,6760,4528,2232,5465,1295,7035,4679,2356,5639,1396,6358,4490,1868,5092,1266,6704,4658,2046,5329,1375,5837,5660,8925,2572,.7960059,.70955133,.75935829,.72192514,.76488984,.67154574,.72016704,.68466586,.76347172,.71098137,.73674834,.70556796,.73883307,.68424463,.71017605,.68012023,.86200714,.70510131,.81370449,.76124197,.81663835,.63459122,.74291301,.69501466,.85526073,.76407623,.81578946,.77317363,.82887036,.72851604,.77950835,.73878777,.54594594,.4995878,.53238547,.51579779,.50644702,.45978755,.4901818,.4749091,PLFS_2223,July 2022 - June 2023,ASSAM,.61189878,.5879795,.80161041,.77574098,.41625443,.3943463,.5427683,.50349921,.63182074,.61232495
24846,19086,10496,7570,2926,6045,4451,10843,7807,3036,6179,4664,10063,7423,2640,5740,4323,10498,7744,2754,5921,4577,9572,9514,10382,8704,.70379192,.65222943,.6825996,.6658054,.68126905,.62483436,.65431511,.63821679,.68084544,.65126616,.66455609,.6463694,.66017675,.6276775,.63700932,.61957645,.7631579,.65585405,.73333335,.72045457,.73550725,.61443496,.70297748,.69063181,.84648472,.79598469,.82543552,.80592334,.8281275,.77135444,.80020267,.78128695,.50999773,.47180226,.49294472,.47975942,.4867067,.44560289,.46558881,.45313525,PLFS_2223,July 2022 - June 2023,WEST BENGAL,.56811273,.54993188,.81560802,.79084831,.31910869,.30754676,.53584558,.51137406,.59516472,.58225775
12378,8626,4950,3203,1747,3561,1389,5074,3304,1770,3587,1487,4061,2980,1081,2763,1298,4247,3140,1107,2826,1421,4246,4380,5380,3246,.84767675,.76741719,.79143071,.77887219,.82696098,.73490614,.75676948,.74476099,.80018735,.7450186,.75738257,.742953,.77572638,.71092492,.71878982,.70509553,.93474525,.84889436,.8852914,.87789083,.9225989,.82359952,.86449862,.85727191,.94102782,.86865079,.89359391,.87803113,.93420684,.84976709,.87367302,.85845721,.60835135,.56414342,.57395995,.56779659,.56825823,.51830161,.5242787,.51864886,PLFS_2223,July 2022 - June 2023,JHARKHAND,.58822167,.57384652,.77814412,.75435704,.4041096,.39885846,.45810229,.42791128,.66672862,.66189593
15528,11513,6737,4323,2414,5298,1439,7063,4570,2493,5510,1553,5940,4120,1820,4575,1365,6380,4461,1919,4880,1500,5694,5819,8576,2937,.81074661,.73777699,.75942761,.74309766,.7733258,.68883413,.7070533,.69184953,.76705992,.71318388,.72378641,.70509708,.72560173,.66315556,.66846001,.65119928,.88898093,.80416393,.84010988,.82912087,.86081028,.75921375,.79676914,.78634703,.89165723,.82239997,.84459019,.8281967,.85735029,.77409637,.7918033,.77643442,.51285613,.45537758,.47399268,.45787546,.47520927,.41400832,.43133333,.41666666,PLFS_2223,July 2022 - June 2023,ORISSA,.61348039,.58516461,.80259925,.75922024,.42842412,.41484791,.52877086,.48995572,.64249068,.61777049
9656,7238,4805,2876,1929,3439,1366,4978,2994,1984,3497,1481,4151,2678,1473,2858,1293,4492,2918,1574,3052,1440,3609,3629,4615,2623,.80124867,.7531243,.71524936,.69959044,.77340299,.72224557,.66095281,.64648265,.75904036,.70687795,.68521285,.66579539,.7291249,.6734134,.62885541,.61103493,.86417836,.8251121,.76985741,.76103193,.84022176,.79956543,.72045743,.7121982,.92817682,.87565565,.83869839,.82050383,.91278237,.85610861,.78538662,.76834863,.48169839,.45227271,.44238207,.43232793,.44429439,.41429561,.39722222,.38819444,PLFS_2223,July 2022 - June 2023,CHATTISGARH,.68775904,.6638574,.8295927,.79689664,.54670709,.53155142,.56462067,.52077776,.75774646,.74517876
20925,15677,9504,6487,3017,6477,3027,9693,6629,3064,6520,3173,8251,6075,2176,5435,2816,8649,6384,2265,5610,3039,8089,7587,9403,6274,.81418347,.7414583,.76269543,.74633378,.79830807,.71805274,.72759855,.71198982,.77740097,.73028368,.73382717,.71670783,.76074821,.70900989,.69830829,.68201756,.89327145,.78571427,.84329045,.8290441,.87956917,.75342464,.8101545,.79646802,.93654472,.87737197,.89328426,.87359709,.93036813,.86276084,.86541891,.84634578,.55236208,.49817386,.51065344,.50071025,.52694613,.46969697,.47318196,.4639684,PLFS_2223,July 2022 - June 2023,MADHYA PRADESH,.6182943,.60623842,.81950796,.80195326,.40384868,.39765388,.50573796,.48246732,.69339573,.68882269
