state_perv1,total_workers_w,total_workers_unw,total_div0_w,total_div1_w,total_div23_w,total_div4_w,total_div5_w,total_div6_w,total_div7_w,total_div8_w,total_div9_w,total_div0_unw,total_div1_unw,total_div23_unw,total_div4_unw,total_div5_unw,total_div6_unw,total_div7_unw,total_div8_unw,total_div9_unw,share_div0_weighted,share_div0_unweighted,share_div1_weighted,share_div1_unweighted,share_div23_weighted,share_div23_unweighted,share_div4_weighted,share_div4_unweighted,share_div5_weighted,share_div5_unweighted,share_div6_weighted,share_div6_unweighted,share_div7_weighted,share_div7_unweighted,share_div8_weighted,share_div8_unweighted,share_div9_weighted,share_div9_unweighted,state_name
01,17499814.58924103,5870,10718846.03314209,12878.79013061523,1668422.536445618,347102.0842819214,3168953.415031433,1921081.128005981,832429.039100647,349629.9560394287,2455853.721343994,3060,11,644,104,967,891,362,120,834,.61251199,.52129471,.00073593867,.0018739352,.09533944,.1097104,.019834615,.017717207,.18108498,.16473594,.10977723,.15178876,.047567878,.061669506,.019979067,.020442931,.14033599,.14207837,JAMMU & KASHMIR
0134,192854.1414489746,120,109327.4256896973,0,7801.730010986328,21138.9651184082,4469.959930419922,12473.75503540039,14996.23974609375,10660.41528320313,56648.14044189453,54,0,10,8,7,15,11,7,31,.56689179,.44999999,0,0,.040454045,.083333336,.10961115,.06666667,.023177931,.058333334,.064679734,.125,.077759489,.091666669,.055277087,.058333334,.29373568,.25833333,LADAKH & JAMMU KASHMIR COMBINED
02,13171724.20100021,3590,9912952.73324585,0,944517.2765846252,225039.3801193237,2852662.254055023,856867.5355300903,814151.2749938965,315532.231967926,1320357.430141449,2563,0,316,68,889,226,196,58,344,.7525934,.71392757,0,0,.071707942,.088022284,.017085036,.018941505,.2165747,.24763231,.06505356,.062952645,.061810531,.0545961,.023955273,.016155988,.10024181,.095821723,HIMACHAL PRADESH
03,35351382.8646698,4758,9330089.347747803,0,6350728.387466431,482142.9508056641,6301583.392501831,5630857.362915039,2083636.787490845,1059353.409896851,5137298.722732544,1142,0,937,68,775,810,307,152,694,.2639243,.24001682,0,0,.17964582,.19693148,.013638588,.01429172,.17825565,.16288356,.15928252,.1702396,.058940742,.064522907,.029966392,.031946197,.14532101,.1458596,PUNJAB
04,1117808.960220337,480,5367.57495880127,0,97715.970287323,8097.664916992188,73754.60415649414,269461.6390991211,87562.89007949829,139407.6646881104,440111.6669387817,10,0,44,2,41,116,39,50,180,.0048018713,.020833334,0,0,.087417416,.091666669,.0072442298,.0041666669,.065981403,.085416667,.24106234,.24166666,.078334399,.081249997,.1247151,.10416666,.39372709,.375,CHANDIGARH
05,13593572.72776794,2477,5823180.72718811,85838.70565032959,1240370.081871033,58578.46469116211,1885274.132141113,2010623.338264465,747835.121963501,414598.2767105103,1793305.203567505,959,10,280,18,331,414,152,83,322,.42837751,.38716188,.0063146539,.0040371418,.091246806,.11303997,.0043092766,.0072668549,.13868864,.1336294,.14790985,.16713767,.055013876,.061364554,.030499581,.033508275,.13192302,.12999596,UTTRAKHAND
06,33144033.08361053,3707,10036243.85466003,58615.37561035156,6302765.510787964,413316.3072509766,4657433.661437988,5243125.32069397,2532043.693977356,1310633.770004272,3626412.475616455,954,6,736,44,604,621,267,151,428,.30280697,.25735095,.0017685046,.0016185595,.1901629,.1985433,.012470308,.011869436,.14052103,.16293499,.15819213,.16752091,.076395161,.072025895,.03954358,.040733747,.10941374,.11545724,HARYANA
07,16431717.235672,1270,40782.64541625977,0,3309791.818496704,92810.65310668945,1195672.272583008,4750137.40045166,1388460.706069946,1560884.177886963,4126317.337051392,7,0,266,8,82,344,122,144,299,.0024819467,.005511811,0,0,.20142701,.20944881,.0056482623,.0062992126,.072766118,.064566933,.28908345,.27086616,.084498823,.096062995,.094992153,.11338583,.25111905,.23543307,DELHI
08,107993471.4922333,7624,66235596.7752533,1063061.907592773,9284218.02557373,670852.9003601074,22514142.38653564,10925955.2098999,3847010.872192383,2434411.356048584,7345020.333648682,3949,57,841,61,1426,1007,314,229,687,.61332965,.51796955,.0098437611,.0074763903,.085970178,.11030955,.0062119765,.008001049,.20847689,.18704093,.10117237,.13208289,.035622623,.041185729,.022542208,.030036727,.068013556,.090110175,RAJASTHAN
09,234749237.2417259,14120,143358246.7913513,163218.828125,21484395.68751144,952127.799987793,35092371.10021973,28606060.56237793,8901963.018997192,4264553.959991455,16083983.14131165,7441,10,1665,100,1991,2127,601,325,1136,.61068672,.52698302,.00069529016,.00070821529,.091520622,.11791785,.0040559354,.0070821531,.14948875,.14100567,.12185795,.15063739,.037921157,.04256374,.018166423,.023016997,.068515591,.080453254,UTTAR PRADESH
