state_perv1,total_workers_w,total_workers_unw,total_div0_w,total_div1_w,total_div23_w,total_div4_w,total_div5_w,total_div6_w,total_div7_w,total_div8_w,total_div9_w,total_div0_unw,total_div1_unw,total_div23_unw,total_div4_unw,total_div5_unw,total_div6_unw,total_div7_unw,total_div8_unw,total_div9_unw,share_div0_weighted,share_div0_unweighted,share_div1_weighted,share_div1_unweighted,share_div23_weighted,share_div23_unweighted,share_div4_weighted,share_div4_unweighted,share_div5_weighted,share_div5_unweighted,share_div6_weighted,share_div6_unweighted,share_div7_weighted,share_div7_unweighted,share_div8_weighted,share_div8_unweighted,share_div9_weighted,share_div9_unweighted,state_name
01,19148654.58620834,5846,11593952.72234726,19321.33499145508,1750858.181533813,214519.5447120667,3852926.037651062,2472443.787179947,979469.94008255,310965.431098938,2274756.585294724,3009,13,605,90,1105,882,377,111,763,.6054709,.5147109,.0010090179,.0022237427,.091435052,.10348956,.011202852,.015395142,.20121132,.18901813,.12911841,.15087239,.051150847,.064488538,.016239544,.018987341,.11879459,.13051659,JAMMU & KASHMIR
02,14287716.18305588,3838,10697649.9320755,29755.88977050781,1245184.898609161,117590.7960968018,3098964.426811218,1080389.77571106,758587.5298233032,284989.2409515381,1461580.257637024,2780,7,354,46,873,286,193,80,402,.7487306,.72433561,.0020826205,.0018238666,.08715073,.092235543,.0082302028,.011985409,.21689712,.22746222,.075616688,.07451798,.053093687,.050286606,.019946452,.020844189,.10229629,.10474205,HIMACHAL PRADESH
03,36796735.97000122,4840,9560806.676086426,70414.70556640625,6829783.675674438,317371.2901306152,6793238.417892456,5607543.458343506,1496658.554412842,1212807.706817627,5686212.397399902,1017,5,1006,49,839,861,222,174,774,.25982758,.21012397,.0019136128,.0010330578,.18560842,.20785125,.0086249849,.010123967,.18461524,.1733471,.15239242,.17789257,.040673677,.045867767,.032959655,.035950415,.15453035,.15991735,PUNJAB
04,1167885.889091492,468,9444.415191650391,0,148087.0008163452,13317.75996398926,141288.2092399597,325254.6489067078,83947.03486633301,80895.77508544922,369160.2049331665,7,0,63,5,53,126,36,28,151,.0080867624,.014957265,0,0,.12679921,.13461539,.011403305,.010683761,.12097775,.11324786,.27849865,.26923078,.071879484,.07692308,.069266848,.05982906,.3160927,.32264957,CHANDIGARH
05,13296849.19666672,2496,5826842.260025024,17640.72998046875,1381204.753490448,57177.52764892578,1764632.753955841,2199142.254676819,732524.1477546692,445459.7862892151,1565468.271312714,918,4,280,9,367,455,120,87,357,.43821225,.36778846,.001326685,.0016025641,.10387459,.11217949,.0043000807,.0036057692,.13271059,.14703526,.16538823,.18229167,.055090055,.048076924,.033501152,.034855768,.11773227,.14302884,UTTARAKHAND
06,32547346.00003052,3682,10513541.43313599,38583.07568359375,5497391.642776489,338469.6824951172,4792199.929992676,4834021.992385864,2058238.78793335,1478590.228271484,4325899.566070557,968,5,668,40,593,610,280,157,508,.32302299,.26290059,.0011854446,.0013579576,.16890445,.18142314,.010399302,.010863661,.14723781,.16105378,.14852276,.16567083,.0632383,.076045625,.045428902,.04263987,.13291098,.1379685,HARYANA
07,13647893.90595627,1188,259530.9836425781,0,3089656.687011719,97102.78588867188,1271590.873908997,3792045.256019592,1395828.259674072,1140972.001281738,2631442.7225914,23,0,244,10,91,340,139,111,231,.019016193,.019360268,0,0,.2263834,.2053872,.0071148551,.0084175086,.093171217,.07659933,.27784839,.28619528,.10227426,.11700337,.083600588,.093434341,.19280943,.19444445,DELHI
08,107526966.6494598,7795,65122442.13879395,1089526.199584961,9641486.674865723,758759.7274780273,27734897.95065308,10649232.24130249,4517529.406311035,2603412.38168335,8471212.858352661,4058,72,842,62,1812,1004,391,237,704,.60563821,.52059013,.010132586,.0092366906,.089665756,.10801796,.0070564598,.0079538161,.25793436,.2324567,.099037781,.12880051,.04201299,.05016036,.024211716,.030404106,.078782216,.090314306,RAJASTHAN
09,252066655.1600266,14878,158050687.1043854,158956.875,22039256.17941284,1065332.548522949,40217616.18119812,30403906.26574707,9459558.88092041,4770861.206119537,16855588.63595581,8220,12,1634,78,2240,2243,619,342,1157,.62701941,.55249363,.00063061446,.00080656004,.08743424,.10982659,.0042263921,.0052426402,.15955152,.15055788,.12061851,.1507595,.037528004,.041605055,.018926982,.022986962,.066869572,.07776583,UTTAR PRADESH
10,110301174.6423492,5718,53959104.02833557,146865.1281738281,7819265.263809204,533320.2207946777,21219546.80010986,14914035.48206329,5159985.665466309,2535634.930786133,7179852.112556458,2311,5,500,25,991,1017,301,201,559,.48919791,.40416229,.001331492,.00087443163,.070890136,.087443165,.0048351274,.0043721581,.19237825,.17331235,.13521193,.1778594,.046780877,.052640785,.022988286,.035152152,.06509316,.097761452,BIHAR
11,1370023.199595451,1468,615362.6795654297,0,61157.0558013916,6703.719928741455,399529.2890548706,131271.0501003265,111499.6650695801,10110.97003936768,354691.0949172974,527,0,80,9,357,213,108,20,433,.44916224,.35899183,0,0,.044639431,.054495912,.0048931432,.0061307903,.29162228,.24318801,.095816664,.14509536,.08138524,.073569484,.0073801451,.013623978,.25889423,.29495913,SIKKIM
12,1586506.072370529,2643,979854.5530204773,1767.325042724609,26532.30513763428,28324.38498687744,100854.269985199,189467.9202709198,40052.05996322632,14134.32996940613,282963.0189914703,1381,4,69,57,182,369,93,33,581,.61761791,.52251232,.0011139731,.0015134317,.016723733,.026106697,.01785331,.021566402,.063570052,.068861142,.11942464,.13961408,.02524545,.035187285,.0089090932,.012485811,.1783561,.21982595,ARUNACHAL PRADESH
13,3115932.511333466,1751,1498237.141143799,14313.47485351563,139601.7546424866,40267.12530517578,233042.9763717651,348914.1415901184,164672.3658943176,228407.3499794006,597298.6912879944,748,6,86,16,132,261,104,145,318,.48083106,.42718446,.004593641,.0034266133,.044802561,.04911479,.012922977,.0091376361,.074790768,.075385496,.11197744,.14905769,.052848503,.059394632,.073303051,.082809821,.19169179,.18161051,NAGALAND
14,3550785.228424072,3503,1329096.714761734,7165.279968261719,444172.580291748,9526.549858093262,305342.6181240082,474397.2600440979,164855.3642845154,209935.0204811096,697438.0206489563,1144,12,527,11,364,552,197,205,575,.37431064,.32657722,.0020179423,.0034256352,.12509137,.15044248,.0026829417,.0031401655,.085992984,.10391093,.13360348,.15757921,.046427861,.056237511,.05912355,.058521267,.19641797,.16414502,MANIPUR
15,1473912.924842834,2588,618452.2099075317,4059.354949951172,68620.92490386963,6779.834945678711,109341.2301101685,277418.5350570679,92085.9797668457,72123.84497070313,258649.3853149414,879,11,143,14,204,561,183,161,491,.41959888,.33964452,.0027541348,.0042503863,.046556972,.055255022,.0045998883,.0054095825,.074184321,.078825347,.18821909,.21676971,.06247722,.070710972,.048933584,.062210202,.17548485,.18972179,MIZORAM
16,4816407.585027695,2799,1673600.771886826,4770.859954833984,277131.904548645,15235.45501327515,1127936.358732224,746521.1107406616,364870.645526886,176628.8559951782,702566.6659870148,824,3,181,11,511,530,195,130,574,.34747905,.29439086,.00099054328,.0010718113,.057539131,.064665951,.0031632404,.003929975,.23418623,.1825652,.15499541,.18935335,.075755768,.069667742,.036672324,.046445157,.14586943,.20507324,TRIPURA
17,4937741.876235962,2336,2135065.633277893,46375.56016540527,162258.2745437622,86060.8498840332,1020821.811798096,638637.9870605469,298279.4394989014,54077.49060058594,769044.1353912354,793,19,75,33,441,352,143,44,551,.43239719,.33946916,.0093920585,.0081335614,.032860827,.032106165,.017429192,.014126712,.20673859,.18878424,.12933807,.15068494,.060408067,.061215755,.010951866,.018835617,.15574814,.23587328,MEGHALAYA
18,48768668.47016144,6088,25823131.71427155,131839.4942321777,4536833.393066406,170763.960144043,6313725.392379761,8649891.16494751,2255161.671966553,1022341.142196655,5922203.511810303,2894,24,586,31,698,1251,331,207,781,.52950251,.47536138,.0027033647,.0039421814,.093027622,.09625493,.0035015095,.0050919843,.12946273,.11465178,.17736575,.20548621,.046242017,.054369252,.020963073,.034001313,.12143459,.12828515,ASSAM
19,142332615.6268158,9626,58379246.20568848,509014.862487793,25049466.07354736,574442.0875244141,20172720.43652344,20554585.49887085,10872921.51037598,4156481.137481689,16575081.58261108,3157,50,1779,42,1224,1709,746,361,1409,.41016072,.32796592,.0035762349,.0051942654,.17599246,.18481196,.0040359134,.0043631829,.14172943,.12715562,.14441234,.17753999,.076390937,.077498443,.029202592,.037502598,.11645315,.1463744,WEST BENGAL
20,54208017.95678711,5166,37022930.68943024,796390.2911071777,4603219.568572998,119626.3984375,14075154.30818939,5726568.138458252,2572382.449241638,990193.7388000488,3232137.108184814,3104,97,502,20,1080,715,289,129,438,.68297887,.60085171,.014691374,.018776616,.084917687,.097173832,.0022068026,.0038714672,.2596508,.20905924,.10564061,.13840495,.04745391,.055942703,.018266555,.024970964,.059624705,.084785134,JHARKHAND
21,60607575.14065552,6200,37810331.97668457,679126.9219970703,5377937.540863037,190534.7036132813,16356813.59434509,7905508.57635498,3685301.371154785,1087216.162109375,4716750.908569336,3474,49,649,24,1468,938,411,154,575,.62385488,.56032258,.011205315,.0079032257,.088733755,.10467742,.0031437441,.0038709678,.26988068,.23677419,.13043763,.15129033,.060805954,.066290319,.017938618,.02483871,.077824444,.092741936,ODISHA
22,47079473.67448425,4567,34101663.17443848,250302.3372802734,2892269.59135437,273725.7420654297,13167166.70170593,3884016.488037109,1162560.748474121,730805.3044433594,4091649.659194946,2849,53,369,44,1076,528,150,89,484,.72434247,.62382311,.0053165918,.011604993,.06143377,.080797024,.0058141206,.0096343337,.27967957,.23560324,.082499146,.115612,.02469358,.032844316,.015522801,.019487629,.086909421,.10597767,CHHATTISGARH
23,124525812.2130432,9276,85587059.31661987,687886.4207763672,9371924.219909668,801114.1755981445,18825691.9773407,12120275.32060242,4109468.855987549,1945484.281646729,8731485.300262451,5629,46,838,70,1161,1205,396,193,890,.68730378,.60683483,.0055240467,.0049590343,.075260893,.090340666,.0064333184,.0075463564,.15117903,.12516171,.097331427,.12990513,.033000939,.042690814,.015623141,.020806381,.070117876,.095946528,MADHYA PRADESH
24,104472919.7217255,6804,45085912.43945313,216670.8632202148,25836327.56484985,471053.6694946289,8269773.193023682,12439344.50524902,5371135.090606689,3182291.969390869,8142303.763198853,2849,14,1599,32,498,907,363,232,585,.43155599,.41872427,.0020739429,.0020576131,.24730167,.23500882,.004508859,.0047031157,.079157099,.073192239,.11906765,.13330394,.051411744,.05335097,.030460449,.03409759,.077936977,.085978836,GUJARAT
2526,1346863.834342957,612,383802.1388168335,0,773256.4799728394,509.5599975585938,20723.69992828369,120773.0407409668,40474.22039794922,25483.27995300293,92558.04440307617,229,0,305,1,12,48,25,15,50,.28495985,.374183,0,0,.57411629,.498366,.00037833073,.0016339869,.015386634,.019607844,.089669824,.078431375,.030050714,.040849674,.018920457,.024509804,.06872116,.081699349,D & N. HAVELI & DAMAN & DIU
27,177646210.2616959,13366,82480164.18553162,224078.4429931641,23588173.73834229,1021779.081817627,12948432.58179474,22906562.39421082,13234340.65045929,10265978.86139679,20070474.58390045,5509,18,1841,87,1033,1969,1037,830,1616,.46429452,.41216519,.0012613748,.0013467006,.13278174,.13773754,.0057517639,.0065090526,.072888874,.077285647,.12894484,.14731409,.074498303,.077584915,.057788897,.062097859,.11298003,.12090378,MAHARASHTRA
28,84554387.03848267,6075,39691276.20263672,472809.4984130859,9982108.774475098,555437.7490234375,21070487.02275085,9942153.26184082,7169963.187210083,2389506.649108887,9128883.68057251,2516,30,772,37,1356,848,538,217,795,.46941712,.41415638,.0055917795,.0049382718,.11805548,.12707819,.006569,.0060905349,.24919449,.22320987,.11758294,.13958848,.084797055,.088559672,.028259996,.035720166,.10796463,.1308642,ANDHRA PRADESH
29,95889406.6759491,6466,45248902.67416382,266543.9123535156,10737953.13510132,552090.1248779297,9304490.881408691,12761454.16729736,8147996.707397461,3814990.111221313,7962584.402069092,2495,16,837,37,652,1014,639,279,673,.47188637,.38586453,.0027797013,.0024744819,.11198268,.12944633,.0057575717,.0057222396,.097033568,.10083514,.13308513,.1568203,.084972858,.09882462,.039785314,.043148778,.083039246,.1040829,KARNATAKA
30,1920551.925369263,551,151384.8999633789,33746.0901184082,338010.046875,27549.76959228516,133314.7941589355,622181.9677124023,210568.1799621582,101023.3508300781,359986.2848968506,57,13,89,8,47,162,61,28,100,.078823641,.10344828,.017571038,.023593467,.1759963,.1615245,.014344715,.014519056,.069414832,.085299455,.32395998,.29401088,.10963941,.1107078,.052601207,.050816696,.18743898,.1814882,GOA
31,56633.1049041748,223,9236.264998435974,0,5500.750053405762,1073.414978027344,8853.039991378784,6239.464967727661,7622.394924163818,2499.290018081665,17437.09494876862,38,0,19,2,39,25,28,8,69,.1630895,.17040358,0,0,.097129583,.085201792,.018953843,.0089686103,.1563227,.1748879,.11017346,.11210762,.13459256,.12556054,.044131257,.035874441,.30789581,.30941704,LAKSHADWEEP
32,47566131.19082642,5813,12323803.56915283,101468.8961181641,5260839.422058105,323430.6072998047,10288346.31677246,7981580.282928467,4678156.302856445,3166171.199829102,7717353.413696289,1491,16,665,37,1275,1002,572,370,904,.25908777,.25649408,.0021332174,.0027524515,.11060053,.11439876,.0067995987,.006365044,.21629563,.21933597,.16779965,.17237227,.098350577,.098400138,.066563562,.063650437,.16224472,.15551351,KERALA
33,117091216.2321167,9846,38134974.6723938,242762.2750854492,21514889.66772461,1068944.756286621,28380244.90591431,16236144.34399414,10704503.79354858,4475450.814880371,10481783.8494873,3080,19,1796,97,2246,1510,892,407,921,.32568604,.31281739,.0020732749,.0019297176,.1837447,.18240909,.0091291629,.0098517165,.24237724,.22811294,.13866235,.15336177,.091420211,.090595163,.038221918,.041336585,.089518107,.093540527,TAMILNADU
34,1896492.697883606,766,388252.0292510986,7833.6650390625,298346.9035644531,6912.795196533203,259903.4038391113,346561.7864227295,164246.355255127,85731.47409057617,448922.0394058228,129,1,126,4,95,153,85,34,169,.20472108,.16840731,.0041306065,.001305483,.15731508,.16449086,.0036450417,.0052219322,.13704424,.12402089,.18273826,.1997389,.086605318,.11096606,.045205276,.044386424,.23671171,.22062664,PUDUCHERY
