state_perv1,total_workers_w,total_workers_unw,total_div0_w,total_div1_w,total_div23_w,total_div4_w,total_div5_w,total_div6_w,total_div7_w,total_div8_w,total_div9_w,total_div0_unw,total_div1_unw,total_div23_unw,total_div4_unw,total_div5_unw,total_div6_unw,total_div7_unw,total_div8_unw,total_div9_unw,share_div0_weighted,share_div0_unweighted,share_div1_weighted,share_div1_unweighted,share_div23_weighted,share_div23_unweighted,share_div4_weighted,share_div4_unweighted,share_div5_weighted,share_div5_unweighted,share_div6_weighted,share_div6_unweighted,share_div7_weighted,share_div7_unweighted,share_div8_weighted,share_div8_unweighted,share_div9_weighted,share_div9_unweighted,state_name
01,20383039.46120644,6056,13689786.56485748,7484.204895019531,1876241.811294556,245826.7787513733,3631119.856147766,2378981.7766819,1034268.060432434,323420.8989257813,2270293.031276703,3368,5,646,93,974,927,375,128,787,.67162633,.55614269,.00036717806,.00082562747,.092049167,.10667107,.012060359,.015356671,.17814419,.16083223,.11671379,.15307133,.050741602,.061922062,.015867157,.021136064,.11138148,.12995377,JAMMU & KASHMIR
02,14335772.15065956,3726,10963035.62104797,51525.59936523438,1136089.715370178,269786.5010375977,2595540.588249207,1168625.322727203,661113.9428596497,286499.5300483704,1643186.293050766,2803,8,355,56,738,294,162,65,405,.76473284,.75228125,.0035941978,.0021470746,.079248592,.095276438,.018819112,.015029523,.18105341,.19806764,.081518129,.078904994,.046116382,.043478262,.019984938,.017444981,.1146214,.10869565,HIMACHAL PRADESH
03,38860697.92136383,4916,10000255.54110718,4189.4501953125,7189676.65700531,348416.5408935547,6245621.103515625,6774400.132980347,1797611.941772461,1153935.030639648,6638021.562133789,1070,1,903,53,774,984,257,168,860,.25733596,.21765663,.00010780687,.00020341741,.18501152,.18368593,.0089657819,.010781123,.16071819,.15744507,.17432523,.20016274,.046257839,.052278277,.02969414,.034174126,.17081581,.17493898,PUNJAB
04,1135107.460323334,487,1919.319946289063,0,113943.6897354126,863.02001953125,64215.13997650146,206298.724193573,110319.4938545227,132294.3290061951,509982.623550415,1,0,54,1,28,102,46,48,211,.0016908707,.0020533882,0,0,.10038141,.11088296,.00076029811,.0020533882,.05657186,.057494868,.18174379,.20944558,.097188592,.094455853,.11654785,.098562628,.44928136,.43326488,CHANDIGARH
05,14284589.73028564,2608,7450353.643135071,1715.819946289063,1453898.207756042,138951.9246520996,1668038.350143433,2093361.123153687,586292.7800292969,325425.2141571045,1577678.545700073,1164,1,293,29,302,476,137,79,296,.52156579,.44631901,.00012011685,.00038343557,.10178088,.11234663,.0097274007,.011119632,.11677188,.11579755,.14654681,.18251534,.041043725,.052530676,.022781558,.03029141,.11044619,.11349693,UTTARAKHAND
06,33751477.92237854,3772,10982853.02023315,11772.884765625,5459090.782623291,303779.1965942383,4546427.37979126,5059775.924499512,3001463.571166992,1618432.073883057,4256746.200271606,1007,2,648,36,542,640,350,188,516,.32540363,.26696712,.00034881095,.00053022272,.16174376,.17179215,.0090004709,.0095440084,.13470306,.14369035,.14991271,.16967127,.088928357,.092788972,.047951445,.049840935,.12612028,.13679746,HARYANA
07,14566611.67245483,1195,58877.21646118164,0,3455160.795761108,170657.1640625,1185572.244667053,3763288.474105835,1687337.693359375,1599561.399017334,2770250.89250946,5,0,257,17,86,319,145,140,233,.0040419293,.0041841003,0,0,.23719729,.21506277,.011715639,.014225941,.081389703,.071966529,.25835031,.2669456,.11583598,.12133891,.10981012,.11715481,.19017813,.19497909,DELHI
08,110801198.8520546,8080,70853053.08609009,1092354.616577148,12060355.30050659,937447.3893585205,25081580.52503967,10698749.74107742,4526313.084777832,2610724.413070679,6963398.027313232,4374,84,1029,58,1658,1025,365,233,705,.63946104,.54133666,.0098586893,.01039604,.10884679,.12735148,.0084606251,.0071782176,.22636561,.20519802,.096558072,.12685643,.040850759,.045173269,.023562239,.028836634,.062845871,.087252475,RAJASTHAN
09,276219974.1705856,15537,176177559.0710449,212187.6477050781,26861670.9307251,1104216.043945313,42436533.98750305,33598985.97958374,9261058.662063599,4567187.481384277,19712586.33045197,8738,9,1845,95,2189,2362,657,289,1189,.63781613,.56239945,.00076818356,.00057926239,.097247384,.11874879,.0039975964,.0061144363,.15363312,.1408895,.12163851,.15202419,.03352784,.042286154,.016534602,.01860076,.071365535,.076526999,UTTAR PRADESH
10,127244243.0667572,6517,67580871.97303772,228067.8972167969,7581509.332855225,205295.1704101563,24551673.60321808,17689282.0931015,5501202.590118408,1646859.017791748,9510620.435058594,2952,5,466,20,1110,1235,339,160,584,.53111142,.45296916,.0017923632,.00076722418,.059582338,.071505293,.0016133946,.0030688967,.19294919,.17032377,.13901833,.18950437,.04323341,.052017801,.012942503,.024551174,.074743032,.089611784,BIHAR
