state_per_fv,total_workers_w,total_workers_unw,total_div0_w,total_div1_w,total_div23_w,total_div4_w,total_div5_w,total_div6_w,total_div7_w,total_div8_w,total_div9_w,total_div0_unw,total_div1_unw,total_div23_unw,total_div4_unw,total_div5_unw,total_div6_unw,total_div7_unw,total_div8_unw,total_div9_unw,share_div0_weighted,share_div0_unweighted,share_div1_weighted,share_div1_unweighted,share_div23_weighted,share_div23_unweighted,share_div4_weighted,share_div4_unweighted,share_div5_weighted,share_div5_unweighted,share_div6_weighted,share_div6_unweighted,share_div7_weighted,share_div7_unweighted,share_div8_weighted,share_div8_unweighted,share_div9_weighted,share_div9_unweighted,state_name
01,17172836.78590775,5656,9896018.941486359,22489.10498046875,1574945.48210144,300708.9964752197,3179566.830883026,2266245.784095764,820714.3783340454,278350.9055328369,2657842.762470245,2678,9,664,101,998,1005,356,118,794,.57626003,.47347948,.0013095742,.0015912305,.091711432,.11739746,.017510734,.017857144,.18515094,.17644979,.13196689,.17768741,.047791429,.062942006,.01620879,.020862801,.15477017,.1403819,JAMMU & KASHMIR
0134,302194.916229248,189,191038.7104797363,0,6878.985061645508,11081.67520141602,50330.11515808105,33913.76992416382,18105.24499511719,11822.91508102417,55229.35556793213,96,0,5,3,24,29,19,8,39,.6321705,.50793654,0,0,.022763405,.026455026,.036670621,.015873017,.16654852,.12698413,.11222482,.15343915,.059912473,.1005291,.039123476,.042328041,.1827607,.20634921,LADAKH & JAMMU KASHMIR COMBINED
02,13714269.02766418,3626,9814423.609603882,14169.59985351563,1363318.347518921,178969.4145965576,3057311.807723999,1124997.879302979,489889.8258209229,262121.0294189453,1343406.640869141,2552,6,306,57,858,311,144,63,363,.71563596,.70380586,.0010332012,.001654716,.099408753,.084390514,.013049869,.015719801,.22292925,.23662437,.082031198,.085769445,.035721175,.039713182,.019113015,.017374517,.097956851,.10011031,HIMACHAL PRADESH
03,38317187.10295105,4796,10123134.82937622,4336.91015625,6350458.386383057,612223.0683898926,5620346.951080322,5745476.901184082,3300150.44758606,1870330.721557617,5525358.380157471,1136,2,919,75,728,891,281,177,676,.26419306,.23686406,.00011318446,.00041701418,.16573393,.19161801,.015977766,.015638031,.14667954,.15179317,.14994517,.18577981,.086127162,.05859049,.048811797,.036905754,.14420052,.1409508,PUNJAB
04,1153328.063613892,481,10742.76495742798,2870.47998046875,136856.9750747681,15440.58489990234,77198.25943756104,363141.3297462463,113523.6499099731,112625.1542816162,325771.2953186035,18,1,57,5,29,150,51,36,137,.009314579,.037422039,.0024888669,.0020790021,.11866266,.11850312,.013387851,.01039501,.066935211,.060291059,.31486386,.31185031,.098431364,.10602911,.097652316,.074844077,.28246194,.2848233,CHANDIGARH
05,13489680.68453217,2479,6389592.969284058,10831.33992004395,1489940.455917358,107231.5432434082,1603230.142486572,1787060.250946045,524729.5775337219,375570.637336731,1551762.500102997,909,7,297,19,330,425,125,81,351,.47366524,.36668012,.00080293522,.0028237193,.11045039,.11980637,.0079491539,.0076643806,.11884864,.1331182,.13247609,.17144009,.038898591,.050423559,.02784133,.032674465,.1150333,.14158934,UTTRAKHAND
06,32517056.84288025,3665,9805879.667663574,52985.05090332031,5520383.695663452,308623.6558227539,5085642.540985107,4729275.359771729,2264658.724365234,1057085.488174438,4260913.241439819,944,5,685,33,559,582,288,123,490,.30156112,.25757164,.0016294541,.0013642565,.16976885,.18690313,.0094911316,.0090040928,.15639922,.15252388,.14543983,.15879945,.069645256,.078581177,.032508645,.033560708,.13103625,.13369714,HARYANA
07,20251799.1020813,1222,77772.72409057617,0,4300652.43560791,49571.6357421875,1451552.026733398,5973796.058288574,2744113.869628906,2068275.646606445,3706437.91506958,12,0,238,5,77,386,151,132,224,.0038402872,.0098199677,0,0,.21235903,.19476268,.0024477646,.004091653,.071675211,.06301146,.29497606,.31587562,.13549976,.12356792,.102128,.10801964,.18301772,.18330605,DELHI
08,105460759.9289551,7667,61332885.25804138,1011479.158111572,10717205.5486145,925881.578125,20108734.12011719,10502576.50021362,4764563.691253662,2629406.128723145,6668824.757980347,3923,67,904,71,1311,1028,368,210,669,.58157068,.51167339,.0095910477,.0087387506,.10162269,.11790792,.0087793944,.0092604673,.19067504,.17099257,.09958753,.13408113,.045178544,.047997914,.024932554,.027390113,.063235126,.087257072,RAJASTHAN
09,219293580.8020248,13455,121636471.9754868,189130.3771972656,23820854.34531403,676816.8093261719,32242345.59367371,27638377.93878937,7812076.813537598,4410247.526046753,15467351.65005493,6690,14,1634,68,1725,2131,566,304,1115,.55467409,.49721295,.00086245284,.0010405054,.1086254,.12144184,.0030863504,.0050538834,.14702822,.12820514,.12603368,.15837978,.03562383,.042066146,.020111157,.022593832,.070532627,.082868822,UTTAR PRADESH
