state_per_fv,total_workers_w,total_workers_unw,total_div0_w,total_div1_w,total_div23_w,total_div4_w,total_div5_w,total_div6_w,total_div7_w,total_div8_w,total_div9_w,total_div0_unw,total_div1_unw,total_div23_unw,total_div4_unw,total_div5_unw,total_div6_unw,total_div7_unw,total_div8_unw,total_div9_unw,share_div0_weighted,share_div0_unweighted,share_div1_weighted,share_div1_unweighted,share_div23_weighted,share_div23_unweighted,share_div4_weighted,share_div4_unweighted,share_div5_weighted,share_div5_unweighted,share_div6_weighted,share_div6_unweighted,share_div7_weighted,share_div7_unweighted,share_div8_weighted,share_div8_unweighted,share_div9_weighted,share_div9_unweighted,state_name
01,15638797.52222061,5557,9307458.834686279,9927.14013671875,1470585.769950867,248266.6265411377,2830179.275939941,2099057.721389771,952290.8171539307,343816.5040893555,2297394.432476044,2769,6,592,99,876,944,386,134,872,.59515184,.49829045,.00063477643,.0010797193,.094034456,.1065323,.015875045,.017815368,.18097167,.15763901,.13422117,.16987583,.060892843,.069461942,.021984844,.02411373,.14690351,.1569192,JAMMU & KASHMIR
0134,333553.2758331299,239,176881.5204772949,0,28781.56018066406,4281.394866943359,25216.05520629883,38490.79547119141,17953.51495361328,2437.809967041016,90077.73976135254,106,0,15,5,18,37,19,8,70,.53029466,.44351465,0,0,.086287744,.062761508,.012835715,.020920502,.075598285,.075313807,.11539625,.15481171,.053825028,.079497911,.0073086075,.033472802,.27005503,.29288703,LADAKH & JAMMU KASHMIR COMBINED
02,12240661.95899391,3409,8642166.684341431,0,874774.1127357483,125147.2643432617,3028810.804969788,933785.7058868408,571745.9999389648,256500.8491821289,1233925.484174728,2334,0,275,39,869,269,158,63,330,.70602119,.68465823,0,0,.071464606,.080668814,.010223897,.011440305,.24743848,.25491348,.076285556,.078908771,.046708748,.046347901,.020954818,.018480493,.10080545,.096802585,HIMACHAL PRADESH
03,33215304.69876862,4527,8214972.371643066,40616.34033203125,6556944.074813843,444425.6142272949,4875613.199493408,5570138.661865234,1974176.590103149,982626.1715393066,4971732.546882629,922,4,967,57,625,848,289,155,714,.24732491,.20366688,.00122282,.00088358735,.19740732,.21360725,.013380146,.01259112,.14678815,.13806053,.16769795,.18732052,.059435751,.06383919,.029583536,.034239009,.14968199,.15772034,PUNJAB
04,1278618.671691895,470,12127.17495727539,1955.7099609375,112467.4542312622,3868.905029296875,93251.09394454956,221674.5691184998,188632.5433731079,183629.3149757385,474390.3160171509,5,1,52,1,37,103,59,64,154,.009484591,.010638298,.001529549,.0021276595,.087960124,.1106383,.0030258475,.0021276595,.072931118,.078723401,.17337035,.21914893,.14752838,.12553191,.14361538,.13617021,.37101781,.32765958,CHANDIGARH
05,11020462.79954529,2191,3720413.859146118,110763.7353515625,1445359.703552246,72893.50979614258,1434112.929801941,1601774.926200867,758017.0430450439,436414.3695831299,1597328.094955444,668,15,327,23,306,361,149,75,299,.33759144,.30488363,.010050734,.006846189,.13115236,.14924692,.0066143782,.01049749,.13013183,.13966225,.14534552,.16476494,.068782687,.06800548,.039600369,.034230944,.14494202,.13646737,UTTRAKHAND
06,29060924.14765167,3608,7986410.472938538,19255.29052734375,5169850.999252319,374835.1927490234,4113014.250732422,4092707.75453186,2139569.102203369,1575010.316345215,4023247.65222168,903,3,719,49,464,562,254,166,552,.27481613,.25027716,.00066258357,.00083148561,.17789699,.19927938,.012898254,.013580931,.14153075,.1286031,.14083199,.15576497,.073623575,.070399113,.054196842,.04600887,.13844183,.15299335,HARYANA
07,22406472.75798035,1254,79021.12873077393,47906.26953125,5208531.670051575,188219.9649658203,1356808.612442017,5229908.240814209,2154790.896240234,2620390.506950378,5568017.393058777,12,3,259,10,68,325,122,144,316,.00352671,.0095693776,.0021380549,.0023923444,.23245656,.20653908,.0084002493,.0079744812,.060554314,.054226477,.2334106,.25917065,.096168235,.097288676,.11694793,.11483254,.24850039,.25199363,DELHI
08,91410263.89492798,6918,52582657.49494934,678338.5900878906,7204681.732421875,700747.701171875,16696822.73361206,9031786.921966553,4563517.20690918,2654685.61807251,8191668.292190552,3303,59,740,70,1132,888,395,257,736,.57523799,.47745013,.0074208141,.0085284766,.078816988,.10696733,.0076659629,.010118531,.18265808,.16363111,.098804951,.12836079,.049923465,.057097428,.029041439,.037149467,.089614317,.10638913,RAJASTHAN
09,191668733.5417786,12060,97379794.69882202,285219.0551757813,20697952.64266968,792770.7169189453,28182683.64297485,22702286.37702942,7768561.314117432,4505822.540222168,15220619.48222351,5459,20,1438,68,1647,1843,518,298,1132,.50806302,.45265341,.0014880834,.0016583748,.10798816,.11923715,.0041361502,.0056384741,.1470385,.13656716,.11844543,.15281923,.040531188,.042951908,.023508387,.024709783,.079411075,.093864016,UTTAR PRADESH
